baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
78.27658497203736,1.4232364509110256,0.3610802885043806,3.941606607234554,8.093764674427073e-5,0.005229471286865937,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__,s__,aerobic_chemoheterotrophy
39.48677795085577,-1.480564170911619,0.4010349782582436,-3.6918579455137213,2.2262180313221126e-4,0.011507073646344965,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera,s__acidiphila,xylanolysisaerobic_chemoheterotrophyureolysis
71.44229582392101,4.633574926568524,0.9671887499467662,4.790765945968205,1.6614584516599124e-6,2.485796353056817e-4,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__URHD0088,g__,s__,aerobic_chemoheterotrophy
32.626754091707355,4.942161167655928,1.029982239751127,4.7982974627311,1.6002000818045876e-6,2.485796353056817e-4,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__,unassigned
27.628037367449124,1.7213352703366813,0.5091578475032489,3.3807497591907345,7.228834453839809e-4,0.024726866087693228,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__,unassigned
68.58321652017658,5.930092813155879,0.9612822922805254,6.16894003018349,6.874929422082635e-10,2.665180972627368e-7,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,s__,unassigned
40.0503486907424,3.564125239777756,0.8603522598404314,4.142634832433393,3.433383923545128e-5,0.0026620170020553225,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__,unassigned
10.183865941995695,-1.499627676351316,0.4860346222243321,-3.08543385137521,0.0020325543011941484,0.04377519726460731,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,unassigned
22.50433847766083,-3.7041512748769327,0.8987788671830282,-4.12131549831224,3.7671510305071385e-5,0.0027382479052998764,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,s__,aerobic_chemoheterotrophy
57.43284476586693,1.7438353854042978,0.5474658310933803,3.185286252333901,0.0014461088813061335,0.03540683429387438,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__,g__,s__,aerobic_chemoheterotrophy
32.44779663484189,-2.0078453854246425,0.6354823058337538,-3.1595614338787077,0.0015800678493084147,0.03788904966485951,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
9.868449060336896,1.84379825430543,0.6061098887181734,3.0420197535545443,0.002349964723727635,0.048371840242393625,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,unassigned
44.96586644939929,2.5377069056036325,0.7593088516866924,3.3421273832992884,8.313889702787515e-4,0.026620815127084575,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__ADurb.Bin063-1,s__,unassigned
28.881571504850047,2.9465700480266,0.8465731361444888,3.4805853413280223,5.003194053843766e-4,0.020064533395242414,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__,unassigned
4.662732978780694,2.1808164860142654,0.6497489143555983,3.356398814728508,7.896460977879524e-4,0.025869251034574325,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Candidatus Udaeobacter,s__,unassigned
52.44158283910979,7.571900964206051,1.042912602615734,7.260340842765665,3.86116126142986e-13,4.4905305470429273e-10,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Ellin516,s__,unassigned
17.522221697849147,-1.606600070869349,0.4709431930142193,-3.411451943039,6.461789069982378e-4,0.022772911176937895,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__TRA3-20,g__,s__,aerobic_chemoheterotrophy
18.108064433514954,2.7631599663411595,0.7195197882438296,3.8402834939193986,1.2289231274200768e-4,0.007146187985947746,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__,s__,unassigned
28.932845007935782,-1.9196067333070272,0.6211666229561904,-3.0903249826454586,0.001999375989264439,0.043463070570365275,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Mycetocola,s__,aerobic_chemoheterotrophy
13.507530912468717,-1.8136073558882493,0.4573737040612606,-3.9652637215132396,7.331484390098561e-5,0.0050155978504027214,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__,s__,unassigned
17.074967765110273,-1.7058540611606372,0.47419621629874975,-3.5973590731603964,3.2146456554162697e-4,0.014379357297112007,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__,aerobic_chemoheterotrophy
37.34174384556254,2.684242516945402,0.7805394806823848,3.4389580327169478,5.839577535789048e-4,0.02141050756367719,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Sphaerotilus,s__,aerobic_chemoheterotrophy
33.92998426517842,3.6817296823086734,0.8436288502991792,4.364158102230629,1.2761326234582938e-5,0.0012367852009016632,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
39.33923129827371,2.2789395720853207,0.6217138402082166,3.665576386914737,2.467821345574283e-4,0.012213090318735707,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__,s__,aerobic_chemoheterotrophy
18.907804885388202,2.375284724346329,0.7276993993385588,3.264101532178452,0.0010981180580487946,0.03140856784153353,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,s__,unassigned
39.2465756919454,5.298791709452272,1.0167071631306717,5.211718675351998,1.870991280621064e-7,3.95629610793145e-5,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
27.00252584995241,1.7766435684433997,0.5634038384383111,3.1534104797156615,0.0016137471517206775,0.03830179464186016,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
23.43260710562244,-4.223135138850107,0.9851234092177844,-4.286909740784044,1.81175863752214e-5,0.001685660236350599,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__,s__,aerobic_chemoheterotrophy
32.46173042300876,5.60231316420031,0.9570086763257274,5.8539836709834665,4.799357653303569e-9,1.3954132376980126e-6,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae,g__Candidatus Brownia,s__rhizoecola,unassigned
49.30368457869622,4.748195466546205,0.8577715630312054,5.535501141780644,3.103397124844926e-8,8.020557458210331e-6,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__,g__,s__,unassigned
25.159076927236544,3.164666396328491,0.7141693586470916,4.431254796934403,9.368630650189572e-6,0.001010234765590457,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__,unassigned
8.650251408260296,3.4538740792310785,0.8906067972242968,3.878113315545727,1.052696851025237e-4,0.006278391988422311,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__,g__,s__,unassigned
11.197190374637678,-1.463550288408464,0.4554893464440073,-3.2131383529260575,0.001312930278821733,0.033559075038893965,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__,s__,aerobic_chemoheterotrophy
17.967035700146578,4.512175414956005,1.0111131750343327,4.46258196052365,8.097793900787725e-6,9.417734306616124e-4,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
3.865071352036567,2.8487786493470475,0.9140673358686213,3.1165960510337083,0.0018295207054169376,0.04052823962666473,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,unassigned
