"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"g__Risungbinella","k__Bacteria","p__Firmicutes","c__Bacilli","o__Thermoactinomycetales","f__Thermoactinomycetaceae","g__Risungbinella",NA,NA,"g__Risungbinella"
"g__Herbiconiux","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Herbiconiux",NA,NA,"g__Herbiconiux"
"g__Candidatus Accumulibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Candidatus Accumulibacter",NA,NA,"g__Candidatus Accumulibacter"
"Unclass_o__Vampirovibrionales","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Vampirovibrionales","f__","Unclass_o__Vampirovibrionales",NA,NA,"Unclass_o__Vampirovibrionales"
"g__Methylobacillus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylobacillus",NA,NA,"g__Methylobacillus"
"g__Sanguibacter-Flavimobilis","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Sanguibacteraceae","g__Sanguibacter-Flavimobilis",NA,NA,"g__Sanguibacter-Flavimobilis"
"g__Parapedobacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Parapedobacter",NA,NA,"g__Parapedobacter"
"g__Actinomycetospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinomycetospora",NA,NA,"g__Actinomycetospora"
"Unclass_c__Acidobacteriae","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__","f__","Unclass_c__Acidobacteriae",NA,NA,"Unclass_c__Acidobacteriae"
"Unclass_","k__","p__","c__","o__","f__","Unclass_",NA,NA,"Unclass_"
"g__Ancylobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Ancylobacter",NA,NA,"g__Ancylobacter"
"g__Buttiauxella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Buttiauxella",NA,NA,"g__Buttiauxella"
"Unclass_p__Myxococcota","k__Bacteria","p__Myxococcota","c__","o__","f__","Unclass_p__Myxococcota",NA,NA,"Unclass_p__Myxococcota"
"g__Craurococcus-Caldovatus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Craurococcus-Caldovatus",NA,NA,"g__Craurococcus-Caldovatus"
"g__UTCFX1","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__UTCFX1",NA,NA,"g__UTCFX1"
"Unclass_f__Taonella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Ferrovibrionales","f__Taonella","Unclass_f__Taonella",NA,NA,"Unclass_f__Taonella"
"Unclass_o__PeM15","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__PeM15","f__","Unclass_o__PeM15",NA,NA,"Unclass_o__PeM15"
