"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle"
"g__Powellomycetaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Powellomycetaceae_gen_Incertae_sedis",""
"g__Pectenia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","g__Pectenia","lichenized"
"Unclass_f__Lasiosphaeriaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","Unclass_f__Lasiosphaeriaceae",NA
"g__Fungi_gen_Incertae_sedis","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",""
"g__Arachniotus","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Gymnoascaceae","g__Arachniotus","soil_saprotroph"
"g__Leptodontidium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leptodontidiaceae","g__Leptodontidium","litter_saprotroph"
"g__Chalara","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Chalara","litter_saprotroph"
"g__Calyptella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","litter_saprotroph"
"g__Spizellomycetales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetales_fam_Incertae_sedis","g__Spizellomycetales_gen_Incertae_sedis",""
"g__Vishniacozyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","soil_saprotroph"
"Unclass_c__Endogonomycetes","k__Fungi","p__Mucoromycota","c__Endogonomycetes",NA,NA,"Unclass_c__Endogonomycetes",NA
"g__Leohumicola","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leohumicola","soil_saprotroph"
"g__Monoblepharidales_gen_Incertae_sedis","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales","f__Monoblepharidales_fam_Incertae_sedis","g__Monoblepharidales_gen_Incertae_sedis",""
"g__Pyrenochaeta","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaeta","wood_saprotroph"
"g__Tumularia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleomassariaceae","g__Tumularia","litter_saprotroph"
"g__Leucosporidium","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium","soil_saprotroph"
"g__Myrmecridium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiaceae","g__Myrmecridium","soil_saprotroph"
"g__Orbiliaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbiliaceae_gen_Incertae_sedis",""
"Unclass_f__Xylariaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","Unclass_f__Xylariaceae",NA
"g__Cephalotrichum","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Cephalotrichum","soil_saprotroph"
"g__Linnemannia","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Linnemannia",""
"Unclass_f__Pezizaceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","Unclass_f__Pezizaceae",NA
