"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle"
"g__Paramicrothyrium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Boliniales","f__Boliniales_fam_Incertae_sedis","g__Paramicrothyrium","epiphyte"
"g__Rhizoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizoglomus","arbuscular_mycorrhizal"
"g__Simplicillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Simplicillium","animal_parasite"
"g__Ochrocladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Ochrocladosporium","wood_saprotroph"
"g__Helicosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Helicosporium","wood_saprotroph"
"g__Delitschiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Delitschiaceae","g__Delitschiaceae_gen_Incertae_sedis",""
"g__Paecilomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Paecilomyces","foliar_endophyte"
"g__Hyaloraphidiales_gen_Incertae_sedis","k__Fungi","p__Monoblepharomycota","c__Hyaloraphidiomycetes","o__Hyaloraphidiales","f__Hyaloraphidiales_fam_Incertae_sedis","g__Hyaloraphidiales_gen_Incertae_sedis",""
"g__Lepidotia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Lepidotia","litter_saprotroph"
"g__Candelariella","k__Fungi","p__Ascomycota","c__Candelariomycetes","o__Candelariales","f__Candelariaceae","g__Candelariella","lichenized"
"g__GS18_ord_Incertae_sedis_gen_Incertae_sedis","k__Fungi","p__Olpidiomycota","c__GS18","o__GS18_ord_Incertae_sedis","f__GS18_ord_Incertae_sedis_fam_Incertae_sedis","g__GS18_ord_Incertae_sedis_gen_Incertae_sedis",""
"g__Dactylospora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Dactylosporaceae","g__Dactylospora","lichen_parasite"
"g__Tubeufiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Tubeufiaceae_gen_Incertae_sedis",""
"g__Macrophomina","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Macrophomina","plant_pathogen"
"g__Pezizellaster","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Lachnaceae","g__Pezizellaster",""
"g__Coprotus","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Coprotus","dung_saprotroph"
"g__Hormiactis","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Hormiactis","mycoparasite"
"g__Corticiales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiales_fam_Incertae_sedis","g__Corticiales_gen_Incertae_sedis",""
"g__Geranomyces","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Geranomyces","pollen_saprotroph"
"g__Cystofilobasidium","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","litter_saprotroph"
"g__Kochiomyces","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Kochiomyces","pollen_saprotroph"
"g__Clavulinopsis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavulinopsis","soil_saprotroph"
"g__Trappea","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hysterangiales","f__Hysterangiaceae","g__Trappea","soil_saprotroph"
"g__Orbilia","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia","wood_saprotroph"
"g__Chionosphaeraceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Chionosphaeraceae_gen_Incertae_sedis",""
"g__Lasiosphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Lasiosphaeria","unspecified_saprotroph"
"g__Amniculicola","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Amniculicola","wood_saprotroph"
"Unclass_f__Amniculicolaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","Unclass_f__Amniculicolaceae",NA
"g__Cryptococcaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcaceae_gen_Incertae_sedis",""
"g__Sporobolomyces","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","mycoparasite"
"g__Lecythophora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Lecythophora","unspecified_saprotroph"
"g__Eurotiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Eurotiales_fam_Incertae_sedis","g__Eurotiales_gen_Incertae_sedis",""
"g__Veronaeopsis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Veronaeopsis","litter_saprotroph"
"g__Athelia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Athelia","lichen_parasite"
"g__Cystobasidium","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","mycoparasite"
"g__Pseudoanungitea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Pseudoanungitea","wood_saprotroph"
"g__Apodospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Apodospora","unspecified_saprotroph"
"g__Melanommataceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Melanommataceae_gen_Incertae_sedis",""
"g__Trichobolus","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Trichobolus","dung_saprotroph"
"g__Glomeraceae_gen_Incertae_sedis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomeraceae_gen_Incertae_sedis",""
"g__Trichophaea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Trichophaea","ectomycorrhizal"
"g__Pseudoacrodictys","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Reticulascaceae","g__Pseudoacrodictys","foliar_endophyte"
"g__Ostropales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Ostropales_fam_Incertae_sedis","g__Ostropales_gen_Incertae_sedis",""
"g__Tubaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Tubaria","litter_saprotroph"
"g__Curvibasidium","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium","wood_saprotroph"
"g__Lanzia","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Lanzia","litter_saprotroph"
"g__Sporormiella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","litter_saprotroph"
"Unclass_f__Glomeraceae","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","Unclass_f__Glomeraceae",NA
"g__Entyloma","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales","f__Entylomataceae","g__Entyloma","plant_pathogen"
"Unclass_f__Typhulaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Typhulaceae","Unclass_f__Typhulaceae",NA
"g__Endogone","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales","f__Endogonaceae","g__Endogone","soil_saprotroph"
"g__Podosphaera","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Podosphaera","plant_pathogen"
"g__Archaeospora","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae","g__Archaeospora","arbuscular_mycorrhizal"
"g__Erythricium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Erythricium","wood_saprotroph"
"g__Halenospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Halenospora","wood_saprotroph"
"g__Pyronemataceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pyronemataceae_gen_Incertae_sedis",""
"g__Kondoa","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa","unspecified_saprotroph"
"Unclass_f__Serendipitaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","Unclass_f__Serendipitaceae",NA
"g__Endogonomycetes_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonomycetes_ord_Incertae_sedis","f__Endogonomycetes_fam_Incertae_sedis","g__Endogonomycetes_gen_Incertae_sedis",""
"g__Rasamsonia","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Rasamsonia","soil_saprotroph"
"g__Rupestriomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Rupestriomyces","unspecified_saprotroph"
"Unclass_f__Parmeliaceae","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","Unclass_f__Parmeliaceae",NA
"g__Lamprospora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Lamprospora","moss_symbiont"
"g__Rhizophydium","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium","algal_parasite"
"g__Sistotrema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","litter_saprotroph"
"g__Sphaerostilbella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Sphaerostilbella","mycoparasite"
"g__Unguicularia","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Unguicularia","litter_saprotroph"
"g__Auricularia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariaceae","g__Auricularia","wood_saprotroph"
"g__Ophiocordyceps","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps","animal_parasite"
"Unclass_f__Monoblastiaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Monoblastiales","f__Monoblastiaceae","Unclass_f__Monoblastiaceae",NA
"g__Coprinopsis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","soil_saprotroph"
"g__Sebacinales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinales_fam_Incertae_sedis","g__Sebacinales_gen_Incertae_sedis",""
"g__Myriangiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiales_fam_Incertae_sedis","g__Myriangiales_gen_Incertae_sedis",""
"g__Gaeumannomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Gaeumannomyces","plant_pathogen"
"Unclass_f__Diaporthaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","Unclass_f__Diaporthaceae",NA
"g__Gallinipes","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Gallinipes","pollen_saprotroph"
"Unclass_f__Cortinariaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","Unclass_f__Cortinariaceae",NA
"g__Rhodosporidiobolus","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodosporidiobolus","unspecified_saprotroph"
"g__Litschauerella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Litschauerella","wood_saprotroph"
"g__Hypomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Hypomyces","mycoparasite"
"g__Nothoseiridium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Nothoseiridium",""
"g__Sordariales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Sordariales_gen_Incertae_sedis",""
"g__Geastrum","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","litter_saprotroph"
"Unclass_f__Inocybaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","Unclass_f__Inocybaceae",NA
"g__Gnomoniopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniopsis","foliar_endophyte"
"Unclass_f__Sympoventuriaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","Unclass_f__Sympoventuriaceae",NA
"g__Tricladium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Tricladium","litter_saprotroph"
"g__Hymenoscyphus","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","litter_saprotroph"
"g__Scutellinia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Scutellinia","wood_saprotroph"
"g__Cryptosporiopsis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Cryptosporiopsis","unspecified_saprotroph"
"Unclass_f__Mollisiaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","Unclass_f__Mollisiaceae",NA
"g__Degelia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","g__Degelia","lichenized"
"g__Botryohypochnus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryohypochnus","wood_saprotroph"
"g__Rhizophydiales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Rhizophydiales_gen_Incertae_sedis",""
"Unclass_o__Spizellomycetales","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales",NA,"Unclass_o__Spizellomycetales",NA
"g__Pteridiosperma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Melanosporales","f__Ceratostomataceae","g__Pteridiosperma","dung_saprotroph"
"g__Sympoventuriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Sympoventuriaceae_gen_Incertae_sedis",""
"g__Infundichalara","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Infundichalara","litter_saprotroph"
"g__Mycenella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycenella","litter_saprotroph"
"g__Lasionectriopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Lasionectriopsis",""
"g__Pseudoophiobolus","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Pseudoophiobolus","litter_saprotroph"
"g__Petrophila","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Petrophila","unspecified_saprotroph"
"g__Calcarisporiella","k__Fungi","p__Calcarisporiellomycota","c__Calcarisporiellomycetes","o__Calcarisporiellales","f__Calcarisporiellaceae","g__Calcarisporiella","soil_saprotroph"
"g__Hawksworthiomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Hawksworthiomyces","soil_saprotroph"
"Unclass_o__Endogonales","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales",NA,"Unclass_o__Endogonales",NA
"g__Conocybe","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","soil_saprotroph"
"g__Itersonilia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Itersonilia","plant_pathogen"
"g__Cylindrosympodioides","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Cylindrosympodioides","epiphyte"
"g__Micropeltidaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Micropeltidaceae","g__Micropeltidaceae_gen_Incertae_sedis",""
"g__Tulasnella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Tulasnellaceae","g__Tulasnella","litter_saprotroph"
"g__Acidomelania","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Acidomelania","root_endophyte"
"g__Dactylaria","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylaria","animal_parasite"
"g__Valsaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsaceae_gen_Incertae_sedis",""
"g__Physcia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Physcia","lichenized"
"g__Plenodomus","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","plant_pathogen"
"g__Celosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium","plant_pathogen"
"Unclass_f__Protrudomycetaceae","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Protrudomycetaceae","Unclass_f__Protrudomycetaceae",NA
"g__Lentitheciaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Lentitheciaceae_gen_Incertae_sedis",""
"g__Sympodiella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Sympodiella","litter_saprotroph"
"g__Gongronella","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Gongronella","soil_saprotroph"
"g__Curvularia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","plant_pathogen"
"g__Sakaguchia","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Sakaguchiales","f__Sakaguchiaceae","g__Sakaguchia","unspecified_saprotroph"
"g__Powellomyces","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Powellomyces","pollen_saprotroph"
"g__Agaricostilbomycetes_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbomycetes_ord_Incertae_sedis","f__Agaricostilbomycetes_fam_Incertae_sedis","g__Agaricostilbomycetes_gen_Incertae_sedis",""
"Unclass_f__Ascobolaceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","Unclass_f__Ascobolaceae",NA
"g__Udeniozyma","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Udeniozyma","unspecified"
"g__Junewangiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Junewangiaceae","g__Junewangiaceae_gen_Incertae_sedis",""
"g__Botrytis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Botrytis","plant_pathogen"
"g__Leptosphaeriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeriaceae_gen_Incertae_sedis",""
"g__Paraloratospora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraloratospora","wood_saprotroph"
"g__Arthrocladium","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Arthrocladium","soil_saprotroph"
"g__Dendrophoma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriales_fam_Incertae_sedis","g__Dendrophoma","plant_pathogen"
"g__Blastocladiomycetes_gen_Incertae_sedis","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycetes","o__Blastocladiomycetes_ord_Incertae_sedis","f__Blastocladiomycetes_fam_Incertae_sedis","g__Blastocladiomycetes_gen_Incertae_sedis",""
"g__Aleuria","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Aleuria","soil_saprotroph"
"g__Dissoconium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Dissoconium","litter_saprotroph"
"g__Herpotrichiellaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Herpotrichiellaceae_gen_Incertae_sedis",""
"Unclass_f__Ploettnerulaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae","Unclass_f__Ploettnerulaceae",NA
"g__Stachybotrys","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Stachybotrys","wood_saprotroph"
"g__Tausonia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Tausonia","soil_saprotroph"
"g__Pseudocoleophoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma","plant_pathogen"
"Unclass_o__Pisorisporiales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pisorisporiales",NA,"Unclass_o__Pisorisporiales",NA
"g__Contumyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Contumyces","moss_symbiont"
"Unclass_f__Ceratostomataceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Melanosporales","f__Ceratostomataceae","Unclass_f__Ceratostomataceae",NA
"g__Melanomma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Melanomma","wood_saprotroph"
"g__Phaeotremella","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","g__Phaeotremella","mycoparasite"
"g__Cadophora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae","g__Cadophora","litter_saprotroph"
"g__Densospora","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales","f__Endogonales_fam_Incertae_sedis","g__Densospora","ectomycorrhizal"
"Unclass_o__Auriculariales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,"Unclass_o__Auriculariales",NA
"g__Lentithecium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Lentithecium","wood_saprotroph"
"Unclass_f__Rhizophydiales_fam_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","Unclass_f__Rhizophydiales_fam_Incertae_sedis",NA
"g__Evernia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Evernia","lichenized"
"g__Serendipitaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipitaceae_gen_Incertae_sedis",""
"g__Mycenaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycenaceae_gen_Incertae_sedis",""
"g__Piptocephalis","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Piptocephalidaceae","g__Piptocephalis","mycoparasite"
"g__Constantinomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Constantinomyces","unspecified_saprotroph"
"Unclass_f__Clavariaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","Unclass_f__Clavariaceae",NA
"Unclass_o__Polyporales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,"Unclass_o__Polyporales",NA
"g__Neophaeococcomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Neophaeococcomyces","plant_pathogen"
"g__Haudseptoria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Monoblastiales","f__Monoblastiaceae","g__Haudseptoria",""
"Unclass_p__Zoopagomycota","k__Fungi","p__Zoopagomycota",NA,NA,NA,"Unclass_p__Zoopagomycota",NA
"g__Chytridiales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Chytridiales","f__Chytridiales_fam_Incertae_sedis","g__Chytridiales_gen_Incertae_sedis",""
"g__Cystofilobasidiales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiales_fam_Incertae_sedis","g__Cystofilobasidiales_gen_Incertae_sedis",""
"g__Kalmusia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Kalmusia","wood_saprotroph"
