Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification,DO_ID,extraction_date,batch_letter,notes_extraction,DNA_ng_per_uL,twenty_uL_DNA_dilution_2_ng_per_uL,DNA_PCR_water,RNA_ng_per_uL,twenty_uL_RNA_dilution_2_ng_per_uL,RNA_PCR_water,cDNA_conc_ng_per_uL,uL_cDNA_input,cDNA_final_input_ng_per_uL
D45-D,PCR_F_bc021,PCR_R_bc002,DNA,PCR_ITS,DO_T05_7.5-15,9/25/2023,A,DNA,11.24,3.558718861,NA,NA,NA,NA,NA,NA,NA
D46-D,PCR_F_bc022,PCR_R_bc002,DNA,PCR_ITS,DO_T04_22.5-30,9/25/2023,B,NA,35,1.142857143,100uL,NA,NA,NA,NA,NA,NA
D47-D,PCR_F_bc001,PCR_R_bc003,DNA,PCR_ITS,DO_T06_30-37.5,9/25/2023,C,NA,32.4,1.234567901,100uL,NA,NA,NA,NA,NA,NA
D48-D,PCR_F_bc002,PCR_R_bc003,DNA,PCR_ITS,DO_T07_7.5-15,9/27/2023,A,NA,33.333,1.200012,250uL,NA,NA,NA,NA,NA,NA
D49-D,PCR_F_bc003,PCR_R_bc003,DNA,PCR_ITS,DO_T03_15-22.5,9/27/2023,D,NA,38.5,1.038961039,350uL,NA,NA,NA,NA,NA,NA
D50-D,PCR_F_bc004,PCR_R_bc003,DNA,PCR_ITS,DO_T06_15-22.5,9/27/2023,C,NA,41.3,0.968523002,50uL,NA,NA,NA,NA,NA,NA
D51-D,PCR_F_bc005,PCR_R_bc003,DNA,PCR_ITS,DO_T02_7.5-15,9/29/2023,B,NA,39,1.025641026,50uL,NA,NA,NA,NA,NA,NA
D52-D,PCR_F_bc006,PCR_R_bc003,DNA,PCR_ITS,DO_T03_7.5-15,9/29/2023,C,NA,42,0.952380952,250uL,NA,NA,NA,NA,NA,NA
D53-D,PCR_F_bc007,PCR_R_bc003,DNA,PCR_ITS,DO_T05_15-22.5,9/29/2023,A,NA,45.6,0.877192982,NA,NA,NA,NA,NA,NA,NA
D54-D,PCR_F_bc008,PCR_R_bc003,DNA,PCR_ITS,DO_T03_0-7.5,10/24/23,A,NA,41,0.975609756,250uL,NA,NA,NA,NA,NA,NA
D55-D,PCR_F_bc009,PCR_R_bc003,DNA,PCR_ITS,DO_T04_15-22.5,10/24/23,C,NA,35.8667,1.115240599,100uL,NA,NA,NA,NA,NA,NA
