core_top_depth_cm,core_bottom_depth_cm,Sample_Date_yr.mo.dy,latitude,longitude,Trees_within_10m_count,Closest_Tree_Distance_m,Closest_Tree_Location_degrees,Second_Closest_Tree_Distance_m,Second_Closest_Tree_Location_degrees,PerCMoisture,FM_AD_correction,FM_OD_correction,AD_OD_correction,bulk_density_g_cm3,Value_dry,Value_wet,Chroma_dry,Chroma_wet,clay_percent,silt_percent,sand_percent,pH_FM_CaCl2,Total_Exchange_Capacity_meq_per_100_g,pH_AD_H20,organic_matter_percent,S_ppm,P_mg_per_kg,Ca_mg_per_kg,Mg_mg_per_kg,K_mg_per_kg,Na_mg_per_kg,Ca_percent,Mg_percent,K_percent,Na_percent,other_bases_percent,H_percent,B_mg_per_kg,Fe_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Zn_mg_per_kg,Al_mg_per_kg,NO3-N_ppm,NH4-N_ppm,Bray_I_P_ppm,carbon_percent,nitrogen_percent,C_per_N_Ratio,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Bacteria_Percent_of_Total_Biomass,PLFA_Gram_Plus_Bacteria_ng_g,PLFA_Gram_Plus_Bacteria_Percent_of_Total_Biomass,PLFA_Actinobacteria_ng_g,PLFA_Actinobacteria_Percent_of_Total_Biomass,PLFA_Gram_Negative_Bacteria_ng_g,PLFA_Gram_Negative_Bacteria_Percent_of_Total_Biomass,PLFA_Total_Fungi_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_ng_g,PLFA_Saprotrophic_Fungi_Percent_of_Total_Biomass,PLFA_Saprotrophic_Fungi_ng_g,PLFA_Protozoa_Percent_of_Total_Biomass,PLFA_Protozoa_ng_g,PLFA_Undifferentiated_Percent_of_Total_Biomass,PLFA_Undifferentiated_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g,PLFA_Predator_Prey_Ratio_ng_g,PLFA_Gram_Positive_Gram_Negative_Ratio_ng_g,PLFA_Saturated_Unsaturated_Ratio_ng_g,PLFA_Monounsaturated_Polyunsaturated_Ratio_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_Percent_of_Total_Biomass
15,22.5,230526,38.488087,-122.151009,0,NA,NA,NA,NA,5.803152071808791,0.9750419256190196,0.9451514254710468,0.9693443949817888,1.2573424473689387,6,4,4,4,23.25,42.19,34.56,6.6,19.99,7.3,2.74,8,9,2875,470,312,19,71.91,19.59,4,0.41,4.1,0,0.46,71,81,4.83,1.47,597,0,1.4,3,1.04,0.08,13,3409.3,1465.35,42.98,626.75,18.38,342.19,10.04,838.6,24.6,226.52,46.93,5.27,179.6,0.39,13.24,49.99,1704.18,0.15,0.01,0.75,2.85,10.72,1.376528906227085
22.5,30,230526,38.488087,-122.151009,0,NA,NA,NA,NA,5.709178845547253,0.9804058086333798,0.9459916451163716,0.9648980420006088,0.9801822669739,6,4,4,4,22.83,33.09,44.08,6.63,22.65,7.3,2.92,4,8,3162,616,277,16,69.8,22.66,3.14,0.31,4.1,0,0.51,73,56,3.98,0.93,608,0,0,4,0.81,0.07,11.57,3112.49,1189.63,38.22,636.56,20.45,304.96,9.8,553.07,17.77,162.67,34.81,4.11,127.86,0,0,56.55,1760.19,0.14,0,1.15,3.91,10.81,1.1183971675411009
30,37.5,230526,38.488087,-122.151009,0,NA,NA,NA,NA,7.848775292864739,0.9509232744149304,0.9272242519996052,0.9750778816199378,0.9180572050997712,6,5,6,4,28.33,36.15,35.52,6.61,24.18,7.4,2.72,4,5,2942,951,193,19,60.84,32.78,2.05,0.34,4,0,0.39,68,38,4.28,0.75,655,0,0,3,0.58,0.06,9.67,3132.4,1080,34.48,608.81,19.44,316.6,10.11,471.19,15.04,178.78,34.5,4.61,144.29,0.3,9.48,59.51,1864.13,0.17,0.01,1.29,3.61,3.83,1.1013919039713955
37.5,45,230526,38.488087,-122.151009,0,NA,NA,NA,NA,9.763572679509634,0.9545273234942162,0.9110490626246508,0.9544504805683244,1.2838851863081586,6,5,6,6,27.46,37.81,34.73,6.42,25.57,7.2,2.6,3,5,3018,1079,109,31,59.01,35.16,1.09,0.53,4.2,0,0.28,67,14,2.66,0.53,632,0,0.7,2,0.39,0.05,7.8,2335.39,863.92,36.99,516.25,22.11,278.13,11.91,347.67,14.89,169.47,26.29,6.13,143.18,0,0,55.75,1302,0.2,0,1.48,3.99,3.95,1.1257220421428542
0,7.5,230528,38.488087,-122.151882,0,NA,NA,NA,NA,4.708566687409243,0.9899960380348654,0.9550316957210776,0.9646823411705852,0.9003921189642641,4,3,3,2,22.29,38.96,38.75,6.95,19.17,7.4,4.27,10,66,3027,303,250,24,78.95,13.17,3.34,0.54,4,0,0.71,206,133,2.95,5.21,774,0,2.1,36,2.3,0.22,10.45,5158.41,1361.89,26.4,554.61,10.75,153.13,2.97,807.28,15.65,1187.7,101.67,21.05,1086.03,1.5,77.47,48.88,2521.29,0.87,0.06,0.69,1.04,0.66,1.970956166725793
7.5,15,230528,38.488087,-122.151882,0,NA,NA,NA,NA,8.620876149269874,0.9599681338378808,0.9206333399721172,0.95902489626556,1.1775750922301376,6,4,3,3,28.05,47.41,24.54,5.95,25,6.7,4.94,8,19,3502,546,217,20,70.04,18.2,2.23,0.35,4.7,4.5,0.44,149,108,3.32,2.28,639,0,2.6,8,2.29,0.18,12.72,2531.4,603.88,23.86,289.87,11.45,132.72,5.24,314.01,12.4,315.92,28.48,11.35,287.44,0.51,12.98,62.61,1584.8,0.52,0.02,0.92,2,1.92,1.1250691317057755
15,22.5,230528,38.488087,-122.151882,0,NA,NA,NA,NA,7.714592274678108,0.967626257595378,0.9283793206494672,0.9594399835289272,1.2991291822508104,6,4,3,3,33.39,42.04,24.57,4.67,33.94,5.4,3.52,7,11,2842,663,255,25,41.87,16.28,1.93,0.32,6.6,33,0.25,182,62,3.66,1.49,906,0,4,3,1.36,0.11,12.36,2620.3,612.73,23.38,355.5,13.57,159.88,6.1,257.23,9.82,324.94,31.07,11.22,293.87,0.98,25.63,63.24,1657.01,0.53,0.04,1.38,2.34,1.9,1.1857420906003129
22.5,30,230528,38.488087,-122.151882,0,NA,NA,NA,NA,8.56526429341963,0.958962639109698,0.9211049284578696,0.9605222256760956,1.235952626045819,6,4,4,3,35.59,40.76,23.65,4.66,26.59,5.6,3.73,7,11,2443,592,201,22,45.94,18.55,1.94,0.36,6.2,27,0,108,43,3.45,1.36,751,0,3.2,3,1.24,0.12,10.33,3402.67,1124.26,33.04,629.99,18.51,320.67,9.42,494.27,14.53,330.25,54.19,8.11,276.06,1.02,34.76,56.23,1913.4,0.29,0.03,1.27,2.37,3.13,1.5925728912883117
30,37.5,230528,38.488087,-122.151882,0,NA,NA,NA,NA,9.844223279965377,0.9607051408311996,0.9103801457553674,0.9476166068682726,1.1569352873367642,6,5,4,4,34.68,42.04,23.28,4.61,27.27,5.4,2.45,7,11,2241,571,160,22,41.09,17.45,1.5,0.35,6.6,33,0,94,30,3.16,1.16,674,0,4.3,3,0.94,0.09,10.44,2196.33,796.91,36.28,417.43,19.01,226.69,10.32,379.48,17.28,158.64,27.89,5.95,130.76,0.69,15.07,55.81,1225.7,0.2,0.02,1.1,2.43,4.43,1.2698456060792322
37.5,45,230528,38.488087,-122.151882,0,NA,NA,NA,NA,10.395554102647914,0.9458098904352976,0.9058335801006812,0.9577332498434564,1.1052050552670871,7,5,3,3,33.64,43.65,22.71,4.7,39.81,5.5,2.74,6,8,3354,934,238,36,42.13,19.55,1.53,0.39,6.4,30,0.27,144,50,4.9,1.03,968,0,3.8,3,0.85,0.08,10.63,1477.28,474.49,32.12,262.07,17.74,140.64,9.52,212.41,14.38,112.24,19.06,6.31,93.18,0,0,60.28,890.55,0.24,0,1.23,3.46,4.13,1.2902090328170692
0,7.5,230529,38.488857,-122.151742,2,2.43,45,5.57,104,5.981367774719464,0.9880131854959544,0.9435620817101188,0.9550096046911332,0.8658749605579729,5,3,3,2,27.92,35.99,36.09,6.94,25.84,7.4,7.36,17,64,4192,327,411,16,81.11,10.55,4.08,0.27,4,0,1.09,138,124,2.74,4,442,3.5,4,43,4.41,0.34,12.97,5620.31,1570.77,27.95,651.35,11.59,204.56,3.64,919.43,16.36,1177.81,159.05,18.13,1018.76,2.25,126.69,48.84,2745.04,0.75,0.08,0.71,1.09,1.67,2.8299150758588048
7.5,15,230529,38.488857,-122.151742,2,2.43,45,5.57,104,8.547008547008554,0.960330908003588,0.921259842519685,0.9593149974052932,1.3118620707257622,6,4,3,3,27.99,44.12,27.89,6.48,23.84,7.3,4.3,7,23,3597,404,562,15,75.44,14.12,6.04,0.27,4.1,0,0.68,84,49,3.22,1.57,558,0,2.1,9,1.71,0.15,11.4,2739.73,639.57,23.34,326.68,11.92,128.15,4.68,312.89,11.42,278.16,36.84,8.81,241.33,0.6,16.56,65.5,1794.44,0.43,0.03,1.04,2.51,2.23,1.3446580502458272
15,22.5,230529,38.488857,-122.151742,2,2.43,45,5.57,104,9.31521739130434,0.9537635477776673,0.914785721388088,0.9591326105087574,1.1346604741949815,6,4,3,4,32.9,38.8,28.3,6.43,21.1,7.3,3.55,7,15,3102,402,515,13,73.51,15.88,6.26,0.27,4.1,0,0.65,71,47,3.7,1.21,556,0.6,3.1,6,1.44,0.13,11.08,2890.26,723.67,25.04,343.34,11.88,117.18,4.05,380.33,13.16,311.02,32.55,9.63,278.47,0,0,64.2,1855.57,0.43,0,0.9,2.34,3.76,1.1261962591600754
22.5,30,230529,38.488857,-122.151742,2,2.43,45,5.57,104,14.364890849451422,0.9532192661457818,0.8743942241123529,0.9173064951234696,1.3602002857423603,6,4,4,4,31.93,39.86,28.21,6.28,25.71,7.2,2.71,5,7,3745,500,649,17,72.83,16.21,6.47,0.29,4.2,0,0.62,69,47,4.79,0.94,690,0,2,3,0.79,0.08,9.88,3222.14,904.94,28.09,393.59,12.22,155.75,4.83,511.36,15.87,340.53,49.76,9.02,290.77,0.5,15.98,60.85,1960.69,0.38,0.02,0.77,2.45,3.07,1.5443152687344437
30,37.5,230529,38.488857,-122.151742,2,2.43,45,5.57,104,9.697499180954456,0.9560975609756098,0.9115978098556496,0.953456892961266,1.3357788977155476,6,5,4,4,31.64,33.24,35.12,6.36,24.92,7.2,2.62,6,4,3732,452,534,17,74.88,15.12,5.49,0.3,4.2,0,0.45,71,55,3.47,0.69,658,0,0.6,2,0.58,0.06,9.67,2733.93,795.75,29.11,365.35,13.36,146.83,5.37,430.4,15.74,297.65,43.87,9.28,253.77,0.6,16.31,59.41,1624.22,0.37,0.02,0.85,2.29,2.46,1.604649716708182
37.5,45,230529,38.488857,-122.151742,2,2.43,45,5.57,104,9.01790558871404,0.960780410113478,0.9172805096555844,0.954724409448819,NA,6,5,4,4,22.04,30.18,47.78,6.55,29.93,7.3,2.8,5,4,4687,491,431,17,78.3,13.67,3.69,0.25,4.1,0,0.57,85,65,2.94,0.77,677,0,0.9,1,0.51,0.06,8.5,2828.21,992.49,35.09,476.39,16.84,197.89,7,516.1,18.25,323.26,52.82,9.56,270.44,0.77,21.64,52.71,1490.82,0.33,0.02,0.92,2.54,2.84,1.8676123767329864
