"","tid","Genus"
"g__Pleosporales_gen_Incertae_sedis","ft_663","g__Pleosporales_gen_Incertae_sedis"
"g__Diplodia","ft_664","g__Diplodia"
"Unclass_o__Microbotryomycetes_ord_Incertae_sedis","ft_665","Unclass_o__Microbotryomycetes_ord_Incertae_sedis"
"g__Lasiobolidium","ft_666","g__Lasiobolidium"
"g__Tremellaceae_gen_Incertae_sedis","ft_667","g__Tremellaceae_gen_Incertae_sedis"
"Unclass_o__Rhizophlyctidales","ft_668","Unclass_o__Rhizophlyctidales"
"g__Fomitiporia","ft_669","g__Fomitiporia"
"g__GS05_gen_Incertae_sedis","ft_670","g__GS05_gen_Incertae_sedis"
"g__Anthracobia","ft_671","g__Anthracobia"
"g__Warcupia","ft_672","g__Warcupia"
"g__Perilachnea","ft_673","g__Perilachnea"
"Unclass_o__Tubeufiales","ft_674","Unclass_o__Tubeufiales"
"Unclass_c__Leotiomycetes","ft_675","Unclass_c__Leotiomycetes"
"Unclass_o__Sclerococcales","ft_676","Unclass_o__Sclerococcales"
"g__Cyanodermella","ft_677","g__Cyanodermella"
"g__Halosarpheia","ft_678","g__Halosarpheia"
"g__Catenulomyces","ft_679","g__Catenulomyces"
"g__Atractospora","ft_680","g__Atractospora"
"g__Hemibeltrania","ft_681","g__Hemibeltrania"
"g__Papulaspora","ft_682","g__Papulaspora"
"Unclass_f__Niessliaceae","ft_683","Unclass_f__Niessliaceae"
"g__Dothideales_gen_Incertae_sedis","ft_684","g__Dothideales_gen_Incertae_sedis"
"Unclass_o__Agaricostilbales","ft_685","Unclass_o__Agaricostilbales"
"g__Hypoxylon","ft_686","g__Hypoxylon"
"Unclass_c__Archaeorhizomycetes","ft_687","Unclass_c__Archaeorhizomycetes"
"Unclass_f__Gloniaceae","ft_688","Unclass_f__Gloniaceae"
"g__Monoblepharomycota_gen_Incertae_sedis","ft_689","g__Monoblepharomycota_gen_Incertae_sedis"
"g__Mycopan","ft_690","g__Mycopan"
"g__Phlebia","ft_691","g__Phlebia"
"g__Symmetrospora","ft_692","g__Symmetrospora"
"g__Polyporus","ft_693","g__Polyporus"
"g__Heterocephalacria","ft_694","g__Heterocephalacria"
"g__Anteaglonium","ft_695","g__Anteaglonium"
"g__Cyphellophoraceae_gen_Incertae_sedis","ft_696","g__Cyphellophoraceae_gen_Incertae_sedis"
"g__Nanoglomus","ft_697","g__Nanoglomus"
"g__Angustimassarina","ft_698","g__Angustimassarina"
"g__Neodevriesia","ft_699","g__Neodevriesia"
"g__Verrucaria","ft_700","g__Verrucaria"
"Unclass_f__Sarcosomataceae","ft_701","Unclass_f__Sarcosomataceae"
"g__Pycnopeziza","ft_702","g__Pycnopeziza"
"g__Chrysozyma","ft_703","g__Chrysozyma"
"Unclass_f__Pleurotheciaceae","ft_704","Unclass_f__Pleurotheciaceae"
"Unclass_f__Physciaceae","ft_705","Unclass_f__Physciaceae"
"g__Zoopagomycota_gen_Incertae_sedis","ft_706","g__Zoopagomycota_gen_Incertae_sedis"
"Unclass_f__Sporocadaceae","ft_707","Unclass_f__Sporocadaceae"
"g__Buckleyzyma","ft_708","g__Buckleyzyma"
"Unclass_o__Hyaloraphidiales","ft_709","Unclass_o__Hyaloraphidiales"
"g__Golovinomyces","ft_710","g__Golovinomyces"
"g__Circinella","ft_711","g__Circinella"
"g__Laccaria","ft_712","g__Laccaria"
"g__Xylomelasma","ft_713","g__Xylomelasma"
"g__Pseudorhizidium","ft_714","g__Pseudorhizidium"
"g__Piskurozyma","ft_715","g__Piskurozyma"
"Unclass_f__Annulatascaceae","ft_716","Unclass_f__Annulatascaceae"
"g__Comoclathris","ft_717","g__Comoclathris"
"Unclass_f__Gonapodyaceae","ft_718","Unclass_f__Gonapodyaceae"
"g__Scutellospora","ft_719","g__Scutellospora"
"Unclass_f__Chionosphaeraceae","ft_720","Unclass_f__Chionosphaeraceae"
"g__Byssomerulius","ft_721","g__Byssomerulius"
"Unclass_f__Sporormiaceae","ft_722","Unclass_f__Sporormiaceae"
"g__Erratomyces","ft_723","g__Erratomyces"
"g__Tetracladium_f__Calloriaceae","ft_724","g__Tetracladium_f__Calloriaceae"
"g__Microthyrium","ft_725","g__Microthyrium"
"g__Kazachstania","ft_726","g__Kazachstania"
"g__Colacogloea","ft_727","g__Colacogloea"
"g__Sarocladium","ft_728","g__Sarocladium"
"Unclass_o__Mycosphaerellales","ft_729","Unclass_o__Mycosphaerellales"
"g__Helotium","ft_730","g__Helotium"
"g__Kwoniella","ft_731","g__Kwoniella"
"Unclass_c__Cystobasidiomycetes","ft_732","Unclass_c__Cystobasidiomycetes"
"Unclass_f__Trichomeriaceae","ft_733","Unclass_f__Trichomeriaceae"
"g__Cytosporella","ft_734","g__Cytosporella"
"g__Hysterium","ft_735","g__Hysterium"
"Unclass_o__Rhizophydiales","ft_736","Unclass_o__Rhizophydiales"
