"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle","tid"
"g__Hymenoscyphus","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","litter_saprotroph","ft_505"
"g__Scutellinia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Scutellinia","wood_saprotroph","ft_506"
"g__Cryptosporiopsis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Cryptosporiopsis","unspecified_saprotroph","ft_507"
"Unclass_f__Mollisiaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","Unclass_f__Mollisiaceae",NA,"ft_508"
"g__Degelia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","g__Degelia","lichenized","ft_509"
"g__Botryohypochnus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryohypochnus","wood_saprotroph","ft_510"
"g__Rhizophydiales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Rhizophydiales_gen_Incertae_sedis","","ft_511"
"Unclass_o__Spizellomycetales","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales",NA,"Unclass_o__Spizellomycetales",NA,"ft_512"
"g__Pteridiosperma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Melanosporales","f__Ceratostomataceae","g__Pteridiosperma","dung_saprotroph","ft_513"
"g__Sympoventuriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Sympoventuriaceae_gen_Incertae_sedis","","ft_514"
"g__Infundichalara","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Infundichalara","litter_saprotroph","ft_515"
"g__Mycenella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycenella","litter_saprotroph","ft_516"
"g__Lasionectriopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Lasionectriopsis","","ft_517"
"g__Pseudoophiobolus","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Pseudoophiobolus","litter_saprotroph","ft_518"
"g__Petrophila","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Petrophila","unspecified_saprotroph","ft_519"
"g__Calcarisporiella","k__Fungi","p__Calcarisporiellomycota","c__Calcarisporiellomycetes","o__Calcarisporiellales","f__Calcarisporiellaceae","g__Calcarisporiella","soil_saprotroph","ft_520"
"g__Hawksworthiomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Hawksworthiomyces","soil_saprotroph","ft_521"
"Unclass_o__Endogonales","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales",NA,"Unclass_o__Endogonales",NA,"ft_522"
"g__Conocybe","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","soil_saprotroph","ft_523"
"g__Itersonilia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Itersonilia","plant_pathogen","ft_524"
"g__Cylindrosympodioides","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Cylindrosympodioides","epiphyte","ft_525"
"g__Micropeltidaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Micropeltidaceae","g__Micropeltidaceae_gen_Incertae_sedis","","ft_526"
"g__Tulasnella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Tulasnellaceae","g__Tulasnella","litter_saprotroph","ft_527"
"g__Acidomelania","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Acidomelania","root_endophyte","ft_528"
"g__Dactylaria","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylaria","animal_parasite","ft_529"
"g__Valsaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsaceae_gen_Incertae_sedis","","ft_530"
"g__Physcia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Physcia","lichenized","ft_531"
"g__Plenodomus","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","plant_pathogen","ft_532"
"g__Celosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium","plant_pathogen","ft_533"
"Unclass_f__Protrudomycetaceae","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Protrudomycetaceae","Unclass_f__Protrudomycetaceae",NA,"ft_534"
"g__Lentitheciaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Lentitheciaceae_gen_Incertae_sedis","","ft_535"
"g__Sympodiella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Sympodiella","litter_saprotroph","ft_536"
"g__Gongronella","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Gongronella","soil_saprotroph","ft_537"
"g__Curvularia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","plant_pathogen","ft_538"
"g__Sakaguchia","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Sakaguchiales","f__Sakaguchiaceae","g__Sakaguchia","unspecified_saprotroph","ft_539"
"g__Powellomyces","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Powellomyces","pollen_saprotroph","ft_540"
"g__Agaricostilbomycetes_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbomycetes_ord_Incertae_sedis","f__Agaricostilbomycetes_fam_Incertae_sedis","g__Agaricostilbomycetes_gen_Incertae_sedis","","ft_541"
"Unclass_f__Ascobolaceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","Unclass_f__Ascobolaceae",NA,"ft_542"
"g__Udeniozyma","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Udeniozyma","unspecified","ft_543"
"g__Junewangiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Junewangiaceae","g__Junewangiaceae_gen_Incertae_sedis","","ft_544"
"g__Botrytis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Botrytis","plant_pathogen","ft_545"
"g__Leptosphaeriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeriaceae_gen_Incertae_sedis","","ft_546"
"g__Paraloratospora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraloratospora","wood_saprotroph","ft_547"
"g__Arthrocladium","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Arthrocladium","soil_saprotroph","ft_548"
"g__Dendrophoma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriales_fam_Incertae_sedis","g__Dendrophoma","plant_pathogen","ft_549"
"g__Blastocladiomycetes_gen_Incertae_sedis","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycetes","o__Blastocladiomycetes_ord_Incertae_sedis","f__Blastocladiomycetes_fam_Incertae_sedis","g__Blastocladiomycetes_gen_Incertae_sedis","","ft_550"
"g__Aleuria","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Aleuria","soil_saprotroph","ft_551"
"g__Dissoconium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Dissoconium","litter_saprotroph","ft_552"
"g__Herpotrichiellaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Herpotrichiellaceae_gen_Incertae_sedis","","ft_553"
"Unclass_f__Ploettnerulaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae","Unclass_f__Ploettnerulaceae",NA,"ft_554"
"g__Stachybotrys","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Stachybotrys","wood_saprotroph","ft_555"
"g__Tausonia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Tausonia","soil_saprotroph","ft_556"
"g__Pseudocoleophoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma","plant_pathogen","ft_557"
"Unclass_o__Pisorisporiales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pisorisporiales",NA,"Unclass_o__Pisorisporiales",NA,"ft_558"
"g__Contumyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Contumyces","moss_symbiont","ft_559"
"Unclass_f__Ceratostomataceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Melanosporales","f__Ceratostomataceae","Unclass_f__Ceratostomataceae",NA,"ft_560"
"g__Melanomma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Melanomma","wood_saprotroph","ft_561"
"g__Phaeotremella","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","g__Phaeotremella","mycoparasite","ft_562"
"g__Cadophora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae","g__Cadophora","litter_saprotroph","ft_563"
"g__Densospora","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales","f__Endogonales_fam_Incertae_sedis","g__Densospora","ectomycorrhizal","ft_564"
"Unclass_o__Auriculariales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,"Unclass_o__Auriculariales",NA,"ft_565"
"g__Lentithecium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Lentithecium","wood_saprotroph","ft_566"
"Unclass_f__Rhizophydiales_fam_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","Unclass_f__Rhizophydiales_fam_Incertae_sedis",NA,"ft_567"
"g__Evernia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Evernia","lichenized","ft_568"
"g__Serendipitaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipitaceae_gen_Incertae_sedis","","ft_569"
"g__Mycenaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycenaceae_gen_Incertae_sedis","","ft_570"
"g__Piptocephalis","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Piptocephalidaceae","g__Piptocephalis","mycoparasite","ft_571"
"g__Constantinomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Constantinomyces","unspecified_saprotroph","ft_572"
"Unclass_f__Clavariaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","Unclass_f__Clavariaceae",NA,"ft_573"
"Unclass_o__Polyporales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,"Unclass_o__Polyporales",NA,"ft_574"
"g__Neophaeococcomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Neophaeococcomyces","plant_pathogen","ft_575"
"g__Haudseptoria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Monoblastiales","f__Monoblastiaceae","g__Haudseptoria","","ft_576"
"Unclass_p__Zoopagomycota","k__Fungi","p__Zoopagomycota",NA,NA,NA,"Unclass_p__Zoopagomycota",NA,"ft_577"
"g__Chytridiales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Chytridiales","f__Chytridiales_fam_Incertae_sedis","g__Chytridiales_gen_Incertae_sedis","","ft_578"
"g__Cystofilobasidiales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiales_fam_Incertae_sedis","g__Cystofilobasidiales_gen_Incertae_sedis","","ft_579"
"g__Kalmusia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Kalmusia","wood_saprotroph","ft_580"
"Unclass_f__Dermateaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","Unclass_f__Dermateaceae",NA,"ft_581"
"Unclass_f__Muyocopronaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Muyocopronales","f__Muyocopronaceae","Unclass_f__Muyocopronaceae",NA,"ft_582"
"g__Dothidotthia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dothidotthiaceae","g__Dothidotthia","plant_pathogen","ft_583"
"g__Blastobotrys","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","nectar/tap_saprotroph","ft_584"
"g__Berkeleyomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Ceratocystidaceae","g__Berkeleyomyces","plant_pathogen","ft_585"
"g__Lachnellula","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnellula","wood_saprotroph","ft_586"
"g__Antealophiotrema","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Antealophiotrema","wood_saprotroph","ft_587"
"g__Teunia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Teunia","soil_saprotroph","ft_588"
"g__Colletotrichum","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Glomerellaceae","g__Colletotrichum","plant_pathogen","ft_589"
"g__Bhatiellae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Bhatiellae","wood_saprotroph","ft_590"
"Unclass_p__Mucoromycota","k__Fungi","p__Mucoromycota",NA,NA,NA,"Unclass_p__Mucoromycota",NA,"ft_591"
"Unclass_o__Xylariales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,"Unclass_o__Xylariales",NA,"ft_592"
"g__GS22_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22","f__GS22_fam_Incertae_sedis","g__GS22_gen_Incertae_sedis","","ft_593"
"g__Kurtzmanomyces","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Kurtzmanomyces","unspecified_saprotroph","ft_594"
"g__Cystobasidiaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidiaceae_gen_Incertae_sedis","","ft_595"
"Unclass_f__Dothioraceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","Unclass_f__Dothioraceae",NA,"ft_596"
"g__Necromortierella","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Necromortierella","","ft_597"
"Unclass_f__Pannariaceae","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","Unclass_f__Pannariaceae",NA,"ft_598"
"g__Neovaginatispora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Neovaginatispora","wood_saprotroph","ft_599"
"g__Isthmomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Microthyriales","f__Microthyriaceae","g__Isthmomyces","","ft_600"
"g__Phoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phoma","plant_pathogen","ft_601"
"g__Paraphaeosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","wood_saprotroph","ft_602"
"g__Agaricostilbales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Agaricostilbales_fam_Incertae_sedis","g__Agaricostilbales_gen_Incertae_sedis","","ft_603"
"g__Keissleriella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","wood_saprotroph","ft_604"
"g__Microbotryomycetes_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Microbotryomycetes_gen_Incertae_sedis","","ft_605"
"g__Minutisphaera","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Minutisphaerales","f__Minutisphaeraceae","g__Minutisphaera","wood_saprotroph","ft_606"
"Unclass_o__Archaeorhizomycetales","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales",NA,"Unclass_o__Archaeorhizomycetales",NA,"ft_607"
"g__Eucasphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Eucasphaeria","plant_pathogen","ft_608"
"g__Pleurotheciella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pleurotheciales","f__Pleurotheciaceae","g__Pleurotheciella","wood_saprotroph","ft_609"
"g__Botryosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Botryosphaeria","plant_pathogen","ft_610"
"g__GS27_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__GS27","o__GS27_ord_Incertae_sedis","f__GS27_fam_Incertae_sedis","g__GS27_gen_Incertae_sedis","","ft_611"
"g__Neopyrenochaeta","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neopyrenochaetaceae","g__Neopyrenochaeta","unspecified_saprotroph","ft_612"
"g__Protrudomycetaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Protrudomycetaceae","g__Protrudomycetaceae_gen_Incertae_sedis","","ft_613"
"g__Typhula","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Typhulaceae","g__Typhula","plant_pathogen","ft_614"
"g__Clavaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","soil_saprotroph","ft_615"
"g__Mucoraceae_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucoraceae_gen_Incertae_sedis","","ft_616"
"g__Seiridium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seiridium","plant_pathogen","ft_617"
"g__Nigrospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","litter_saprotroph","ft_618"
"g__Sympoventuria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Sympoventuria","litter_saprotroph","ft_619"
"Unclass_f__Acaulosporaceae","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","Unclass_f__Acaulosporaceae",NA,"ft_620"
"g__Mycoleptodiscus","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Muyocopronales","f__Muyocopronaceae","g__Mycoleptodiscus","plant_pathogen","ft_621"
"g__Endophragmiella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Helminthosphaeriaceae","g__Endophragmiella","wood_saprotroph","ft_622"
"g__Bensingtonia","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Bensingtonia","unspecified_saprotroph","ft_623"
"g__Haptocillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Haptocillium","animal_parasite","ft_624"
"g__Disciseda","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Disciseda","soil_saprotroph","ft_625"
"g__Lecanoromycetes_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Lecanoromycetes_fam_Incertae_sedis","g__Lecanoromycetes_gen_Incertae_sedis","","ft_626"
"g__Mortierellomycetes_gen_Incertae_sedis","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellomycetes_ord_Incertae_sedis","f__Mortierellomycetes_fam_Incertae_sedis","g__Mortierellomycetes_gen_Incertae_sedis","","ft_627"
"Unclass_f__Chaetosphaeriaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","Unclass_f__Chaetosphaeriaceae",NA,"ft_628"
"Unclass_f__Pleosporaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","Unclass_f__Pleosporaceae",NA,"ft_629"
"g__Geosmithia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Geosmithia","unspecified_saprotroph","ft_630"
"g__Psathyrella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","wood_saprotroph","ft_631"
"g__Entoloma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","soil_saprotroph","ft_632"
"Unclass_f__Melanommataceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","Unclass_f__Melanommataceae",NA,"ft_633"
"Unclass_f__Kriegeriaceae","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Kriegeriaceae","Unclass_f__Kriegeriaceae",NA,"ft_634"
"g__Cryptotrichosporon","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Tetragoniomycetaceae","g__Cryptotrichosporon","plant_pathogen","ft_635"
"g__Corticiaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Corticiaceae_gen_Incertae_sedis","","ft_636"
"g__Acaulospora","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","arbuscular_mycorrhizal","ft_637"
"g__Parazalerion","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Microthyriales","f__Microthyriales_fam_Incertae_sedis","g__Parazalerion","soil_saprotroph","ft_638"
"g__Spiculogloeomycetes_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Spiculogloeomycetes","o__Spiculogloeomycetes_ord_Incertae_sedis","f__Spiculogloeomycetes_fam_Incertae_sedis","g__Spiculogloeomycetes_gen_Incertae_sedis","","ft_639"
"g__Cephalothecaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalothecaceae_gen_Incertae_sedis","","ft_640"
"g__Dictyosporiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Dictyosporiaceae_gen_Incertae_sedis","","ft_641"
"g__Betamyces","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Alphamycetaceae","g__Betamyces","pollen_saprotroph","ft_642"
"g__Marcelleina","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Marcelleina","ectomycorrhizal","ft_643"
"g__Microascus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Microascus","soil_saprotroph","ft_644"
"Unclass_o__Monoblepharidales","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales",NA,"Unclass_o__Monoblepharidales",NA,"ft_645"
"Unclass_f__Fusculinaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Fusculinaceae","Unclass_f__Fusculinaceae",NA,"ft_646"
"Unclass_o__Venturiales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,"Unclass_o__Venturiales",NA,"ft_647"
"g__Physconia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Physconia","lichenized","ft_648"
"g__Coltricia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Coltricia","ectomycorrhizal","ft_649"
"g__Lobulomyces","k__Fungi","p__Chytridiomycota","c__Lobulomycetes","o__Lobulomycetales","f__Lobulomycetaceae","g__Lobulomyces","pollen_saprotroph","ft_650"
"g__Clavulinaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__Clavulinaceae_gen_Incertae_sedis","","ft_651"
"g__Rachicladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium","litter_saprotroph","ft_652"
"g__Clitopilus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus","litter_saprotroph","ft_653"
"g__Saksenaea","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Saksenaeaceae","g__Saksenaea","soil_saprotroph","ft_654"
"g__GS17_ord_Incertae_sedis_gen_Incertae_sedis","k__Fungi","p__Olpidiomycota","c__GS17","o__GS17_ord_Incertae_sedis","f__GS17_ord_Incertae_sedis_fam_Incertae_sedis","g__GS17_ord_Incertae_sedis_gen_Incertae_sedis","","ft_655"
"g__Oedocephalum","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Oedocephalum","litter_saprotroph","ft_656"
"g__Ochroconis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis","animal_parasite","ft_657"
