"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle","tid"
"g__Slooffia","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Slooffia","unspecified_saprotroph","ft_289"
"g__Geomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Geomyces","soil_saprotroph","ft_290"
"g__Arxiella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Arxiella","litter_saprotroph","ft_291"
"g__Cunninghamellaceae_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Cunninghamellaceae_gen_Incertae_sedis","","ft_292"
"g__Cladochytriales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Cladochytriomycetes","o__Cladochytriales","f__Cladochytriales_fam_Incertae_sedis","g__Cladochytriales_gen_Incertae_sedis","","ft_293"
"g__Amphisphaeriales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Amphisphaeriales_fam_Incertae_sedis","g__Amphisphaeriales_gen_Incertae_sedis","","ft_294"
"g__Pisorisporiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pisorisporiales","f__Pisorisporiales_fam_Incertae_sedis","g__Pisorisporiales_gen_Incertae_sedis","","ft_295"
"g__Absidia","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Absidia","soil_saprotroph","ft_296"
"g__Dothiorella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Dothiorella","plant_pathogen","ft_297"
"g__Pyxidiophorales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Pyxidiophorales","f__Pyxidiophorales_fam_Incertae_sedis","g__Pyxidiophorales_gen_Incertae_sedis","","ft_298"
"Unclass_o__Diaporthales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales",NA,"Unclass_o__Diaporthales",NA,"ft_299"
"g__Immersidiscosia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Immersidiscosia","plant_pathogen","ft_300"
"g__Mycena","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","litter_saprotroph","ft_301"
"g__Murispora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Murispora","wood_saprotroph","ft_302"
"g__Dioszegia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","litter_saprotroph","ft_303"
"g__Chaetomidium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomidium","dung_saprotroph","ft_304"
"g__Protomyces","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Protomycetaceae","g__Protomyces","plant_pathogen","ft_305"
"g__Knufia","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","soil_saprotroph","ft_306"
"g__Pezizomycotina_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Pezizomycotina_gen_Incertae_sedis","","ft_307"
"g__Rutstroemia","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Rutstroemia","litter_saprotroph","ft_308"
"g__Cosmospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Cosmospora","mycoparasite","ft_309"
"g__Pithoascus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Pithoascus","soil_saprotroph","ft_310"
"g__Septoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Septoglomus","arbuscular_mycorrhizal","ft_311"
"g__Limonomyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","plant_pathogen","ft_312"
"g__Fimicolochytrium","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Fimicolochytrium","pollen_saprotroph","ft_313"
"g__Cladophialophora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","soil_saprotroph","ft_314"
"g__Acaulosporaceae_gen_Incertae_sedis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulosporaceae_gen_Incertae_sedis","","ft_315"
"g__Cylindrosympodium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Cylindrosympodiaceae","g__Cylindrosympodium","plant_pathogen","ft_316"
"Unclass_o__Sebacinales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,"Unclass_o__Sebacinales",NA,"ft_317"
"g__Harzia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Melanosporales","f__Ceratostomataceae","g__Harzia","wood_saprotroph","ft_318"
