"","tid","Genus"
"g__Methylotenera","bt_332","g__Methylotenera"
"g__Candidatus Nitrocosmicus","bt_333","g__Candidatus Nitrocosmicus"
"g__Friedmanniella","bt_334","g__Friedmanniella"
"g__Agrococcus","bt_335","g__Agrococcus"
"Unclass_f__Ktedonobacteraceae","bt_336","Unclass_f__Ktedonobacteraceae"
"g__Chryseolinea","bt_337","g__Chryseolinea"
"g__Aeromicrobium","bt_338","g__Aeromicrobium"
"g__Thermosporothrix","bt_339","g__Thermosporothrix"
"Unclass_o__Lineage IV","bt_340","Unclass_o__Lineage IV"
"Unclass_f__Anaerolineaceae","bt_341","Unclass_f__Anaerolineaceae"
"g__Aminobacter","bt_342","g__Aminobacter"
"g__Cytophaga","bt_343","g__Cytophaga"
"Unclass_f__NS11-12 marine group","bt_344","Unclass_f__NS11-12 marine group"
"g__Roseimicrobium","bt_345","g__Roseimicrobium"
"g__Rubellimicrobium","bt_346","g__Rubellimicrobium"
"g__Pigmentiphaga","bt_347","g__Pigmentiphaga"
"g__Denitratisoma","bt_348","g__Denitratisoma"
"g__SM1A02","bt_349","g__SM1A02"
"Unclass_o__Candidatus Zambryskibacteria","bt_350","Unclass_o__Candidatus Zambryskibacteria"
"g__Rhodopirellula","bt_351","g__Rhodopirellula"
"g__Cupriavidus","bt_352","g__Cupriavidus"
"Unclass_o__Zavarziniales","bt_353","Unclass_o__Zavarziniales"
"Unclass_p__NB1-j","bt_354","Unclass_p__NB1-j"
"g__Domibacillus","bt_355","g__Domibacillus"
"g__Phytohabitans","bt_356","g__Phytohabitans"
"g__Luteimonas","bt_357","g__Luteimonas"
"Unclass_c__Pla3 lineage","bt_358","Unclass_c__Pla3 lineage"
"g__Sorangium","bt_359","g__Sorangium"
"g__Verrucomicrobium","bt_360","g__Verrucomicrobium"
"g__Cutibacterium","bt_361","g__Cutibacterium"
"g__Paenarthrobacter","bt_362","g__Paenarthrobacter"
"g__Zavarzinella","bt_363","g__Zavarzinella"
"g__Roseiarcus","bt_364","g__Roseiarcus"
"g__Candidatus Nitrososphaera","bt_365","g__Candidatus Nitrososphaera"
"g__Siccirubricoccus","bt_366","g__Siccirubricoccus"
"g__Streptosporangium","bt_367","g__Streptosporangium"
"g__Minicystis","bt_368","g__Minicystis"
"g__Methylobacterium-Methylorubrum","bt_369","g__Methylobacterium-Methylorubrum"
"Unclass_c__vadinHA49","bt_370","Unclass_c__vadinHA49"
"g__Fluviicola","bt_371","g__Fluviicola"
"g__Cohnella","bt_372","g__Cohnella"
"g__Belnapia","bt_373","g__Belnapia"
"Unclass_c__OM190","bt_374","Unclass_c__OM190"
"g__Virgisporangium","bt_375","g__Virgisporangium"
"Unclass_f__Verrucomicrobiaceae","bt_376","Unclass_f__Verrucomicrobiaceae"
"g__Brevibacterium","bt_377","g__Brevibacterium"
"Unclass_f__CPla-3 termite group","bt_378","Unclass_f__CPla-3 termite group"
"g__Saccharothrix","bt_379","g__Saccharothrix"
"g__Gemmata","bt_380","g__Gemmata"
"Unclass_o__JG36-GS-52","bt_381","Unclass_o__JG36-GS-52"
"Unclass_f__211ds20","bt_382","Unclass_f__211ds20"
"g__Streptacidiphilus","bt_383","g__Streptacidiphilus"
"g__Aridibacter","bt_384","g__Aridibacter"
"Unclass_f__Sphingomonadaceae","bt_385","Unclass_f__Sphingomonadaceae"
"g__DEV008","bt_386","g__DEV008"
"Unclass_o__Candidatus Curtissbacteria","bt_387","Unclass_o__Candidatus Curtissbacteria"
