"","tid","Genus"
"Unclass_f__Geobacteraceae","bt_883","Unclass_f__Geobacteraceae"
"g__Telmatocola","bt_884","g__Telmatocola"
"g__Aestuariimicrobium","bt_885","g__Aestuariimicrobium"
"g__Tomitella","bt_886","g__Tomitella"
"Unclass_c__Berkelbacteria","bt_887","Unclass_c__Berkelbacteria"
"g__MM1","bt_888","g__MM1"
"g__Candidatus Megaira","bt_889","g__Candidatus Megaira"
"g__Blastomonas","bt_890","g__Blastomonas"
"Unclass_c__Lineage IIc","bt_891","Unclass_c__Lineage IIc"
"g__Thermocatellispora","bt_892","g__Thermocatellispora"
"g__Salinispira","bt_893","g__Salinispira"
"g__Longimycelium","bt_894","g__Longimycelium"
"Unclass_f__MWH-CFBk5","bt_895","Unclass_f__MWH-CFBk5"
"g__Williamsia","bt_896","g__Williamsia"
"Unclass_f__Hungateiclostridiaceae","bt_897","Unclass_f__Hungateiclostridiaceae"
"g__Scytonema UTEX 2349","bt_898","g__Scytonema UTEX 2349"
"g__Actinoalloteichus","bt_899","g__Actinoalloteichus"
"g__Aquipuribacter","bt_900","g__Aquipuribacter"
"g__Aliterella","bt_901","g__Aliterella"
"g__Kamptonema PCC-6407","bt_902","g__Kamptonema PCC-6407"
"Unclass_f__Cryomorphaceae","bt_903","Unclass_f__Cryomorphaceae"
"g__CL500-3","bt_904","g__CL500-3"
"Unclass_f__Streptosporangiaceae","bt_905","Unclass_f__Streptosporangiaceae"
"g__Raoultella","bt_906","g__Raoultella"
"Unclass_o__Ardenticatenales","bt_907","Unclass_o__Ardenticatenales"
"Unclass_o__Micrococcales","bt_908","Unclass_o__Micrococcales"
"g__Sporosarcina","bt_909","g__Sporosarcina"
"g__FS142-36B-02","bt_910","g__FS142-36B-02"
"g__Anaerolinea","bt_911","g__Anaerolinea"
"g__Haloactinopolyspora","bt_912","g__Haloactinopolyspora"
"g__Ruminococcus","bt_913","g__Ruminococcus"
"g__Kineococcus","bt_914","g__Kineococcus"
"Unclass_f__Spongiibacteraceae","bt_915","Unclass_f__Spongiibacteraceae"
"g__Prosthecomicrobium","bt_916","g__Prosthecomicrobium"
"g__Phytomonospora","bt_917","g__Phytomonospora"
"g__Pseudosphingobacterium","bt_918","g__Pseudosphingobacterium"
"g__Waddlia","bt_919","g__Waddlia"
"g__AAP99","bt_920","g__AAP99"
"g__Filimonas","bt_921","g__Filimonas"
"Unclass_c__Nitrososphaeria","bt_922","Unclass_c__Nitrososphaeria"
"g__Deinococcus","bt_923","g__Deinococcus"
"g__Candidatus Obscuribacter","bt_924","g__Candidatus Obscuribacter"
"Unclass_f__GW2011_GWC1_47_15","bt_925","Unclass_f__GW2011_GWC1_47_15"
"g__Achromobacter","bt_926","g__Achromobacter"
"g__Fonticella","bt_927","g__Fonticella"
"g__Prevotellaceae Ga6A1 group","bt_928","g__Prevotellaceae Ga6A1 group"
"g__Pediococcus","bt_929","g__Pediococcus"
"g__Jeotgalibacillus","bt_930","g__Jeotgalibacillus"
"g__Amaricoccus","bt_931","g__Amaricoccus"
"g__Chlamydia","bt_932","g__Chlamydia"
"Unclass_o__mle1-8","bt_933","Unclass_o__mle1-8"
"Unclass_k__Eukaryota","bt_934","Unclass_k__Eukaryota"
"g__SH3-11","bt_935","g__SH3-11"
"g__Lacibacterium","bt_936","g__Lacibacterium"
"Unclass_o__Absconditabacteriales (SR1)","bt_937","Unclass_o__Absconditabacteriales (SR1)"
"g__Lachnospiraceae NK4A136 group","bt_938","g__Lachnospiraceae NK4A136 group"
"g__Cereibacter","bt_939","g__Cereibacter"
"g__Herminiimonas","bt_940","g__Herminiimonas"
"g__Micrococcus","bt_941","g__Micrococcus"
"Unclass_f__Thermomicrobiaceae","bt_942","Unclass_f__Thermomicrobiaceae"
"g__Rickettsia","bt_943","g__Rickettsia"
"Unclass_o__Group 1.1c","bt_944","Unclass_o__Group 1.1c"
"g__Brochothrix","bt_945","g__Brochothrix"
"g__Pseudochrobactrum","bt_946","g__Pseudochrobactrum"
"g__Cellulosimicrobium","bt_947","g__Cellulosimicrobium"
"g__Salinispora","bt_948","g__Salinispora"
"g__Intestinimonas","bt_949","g__Intestinimonas"
"g__Melghirimyces","bt_950","g__Melghirimyces"
"g__Candidatus Amoebophilus","bt_951","g__Candidatus Amoebophilus"
"Unclass_f__Holophagaceae","bt_952","Unclass_f__Holophagaceae"
"Unclass_o__CHAB-XI-27","bt_953","Unclass_o__CHAB-XI-27"
"Unclass_o__SM1A07","bt_954","Unclass_o__SM1A07"
"Unclass_p__Margulisbacteria","bt_955","Unclass_p__Margulisbacteria"
"Unclass_f__Lachnospiraceae","bt_956","Unclass_f__Lachnospiraceae"
"Unclass_f__Peptococcaceae","bt_957","Unclass_f__Peptococcaceae"
"Unclass_o__CCM11a","bt_958","Unclass_o__CCM11a"
"Unclass_o__Candidatus Peregrinibacteria","bt_959","Unclass_o__Candidatus Peregrinibacteria"
"g__Clostridium sensu stricto 8","bt_960","g__Clostridium sensu stricto 8"
"g__Lactococcus","bt_961","g__Lactococcus"
"g__Arboricoccus","bt_962","g__Arboricoccus"
"g__Anaerostipes","bt_963","g__Anaerostipes"
"g__NS10 marine group","bt_964","g__NS10 marine group"
"g__Phycisphaera","bt_965","g__Phycisphaera"
"g__Prevotellaceae UCG-003","bt_966","g__Prevotellaceae UCG-003"
"g__Luteipulveratus","bt_967","g__Luteipulveratus"
"g__Acrocarpospora","bt_968","g__Acrocarpospora"
"g__Corynebacterium","bt_969","g__Corynebacterium"
"Unclass_f__Glycomycetaceae","bt_970","Unclass_f__Glycomycetaceae"
"g__Paucimonas","bt_971","g__Paucimonas"
"g__Afifella","bt_972","g__Afifella"
"Unclass_f__Spirosomaceae","bt_973","Unclass_f__Spirosomaceae"
"Unclass_f__Puniceicoccaceae","bt_974","Unclass_f__Puniceicoccaceae"
"g__Nibribacter","bt_975","g__Nibribacter"
"g__Hydrocarboniphaga","bt_976","g__Hydrocarboniphaga"
"Unclass_o__Candidatus Peribacteria","bt_977","Unclass_o__Candidatus Peribacteria"
"Unclass_f__Chroococcidiopsaceae","bt_978","Unclass_f__Chroococcidiopsaceae"
"Unclass_o__Bacillales","bt_979","Unclass_o__Bacillales"
"g__Aliihoeflea","bt_980","g__Aliihoeflea"
"g__Thermobaculum","bt_981","g__Thermobaculum"
"Unclass_c__Dehalococcoidia","bt_982","Unclass_c__Dehalococcoidia"
"g__Rudanella","bt_983","g__Rudanella"
"Unclass_p__Zixibacteria","bt_984","Unclass_p__Zixibacteria"
"Unclass_f__Dermatophilaceae","bt_985","Unclass_f__Dermatophilaceae"
"g__Lactobacillus","bt_986","g__Lactobacillus"
"g__Lentimicrobium","bt_987","g__Lentimicrobium"
"g__Euzebya","bt_988","g__Euzebya"
"Unclass_o__Salinisphaerales","bt_989","Unclass_o__Salinisphaerales"
"g__Methylocystis","bt_990","g__Methylocystis"
"g__SZB85","bt_991","g__SZB85"
"g__Curvibacter","bt_992","g__Curvibacter"
"g__Phormidium SAG 37.90","bt_993","g__Phormidium SAG 37.90"
"g__Prevotellaceae UCG-001","bt_994","g__Prevotellaceae UCG-001"
"g__Wolbachia","bt_995","g__Wolbachia"
"Unclass_o__Candidatus Campbellbacteria","bt_996","Unclass_o__Candidatus Campbellbacteria"
"g__Stigmatella","bt_997","g__Stigmatella"
"Unclass_f__Rubinisphaeraceae","bt_998","Unclass_f__Rubinisphaeraceae"
"Unclass_o__Candidatus Abawacabacteria","bt_999","Unclass_o__Candidatus Abawacabacteria"
"g__Candidatus Endoecteinascidia","bt_1000","g__Candidatus Endoecteinascidia"
"Unclass_o__Candidatus Jorgensenbacteria","bt_1001","Unclass_o__Candidatus Jorgensenbacteria"
"Unclass_o__Ignavibacteriales","bt_1002","Unclass_o__Ignavibacteriales"
"Unclass_o__Enterobacterales","bt_1003","Unclass_o__Enterobacterales"
"g__Magnetospirillum","bt_1004","g__Magnetospirillum"
"g__Fontimonas","bt_1005","g__Fontimonas"
"Unclass_f__S15-21","bt_1006","Unclass_f__S15-21"
"g__Huanghella","bt_1007","g__Huanghella"
"g__Candidatus Entotheonella","bt_1008","g__Candidatus Entotheonella"
"Unclass_f__Babeliaceae","bt_1009","Unclass_f__Babeliaceae"
"Unclass_c__Phycisphaerae","bt_1010","Unclass_c__Phycisphaerae"
"g__Rothia","bt_1011","g__Rothia"
"Unclass_o__Clostridia UCG-014","bt_1012","Unclass_o__Clostridia UCG-014"
"Unclass_f__SB-5","bt_1013","Unclass_f__SB-5"
"Unclass_c__SHA-26","bt_1014","Unclass_c__SHA-26"
"Unclass_o__Desulfovibrionales","bt_1015","Unclass_o__Desulfovibrionales"
"Unclass_f__AB1","bt_1016","Unclass_f__AB1"
"Unclass_f__Amoebophilaceae","bt_1017","Unclass_f__Amoebophilaceae"
"Unclass_f__Latescibacteraceae","bt_1018","Unclass_f__Latescibacteraceae"
"g__Planctopirus","bt_1019","g__Planctopirus"
"g__Anabaena PCC-7122","bt_1020","g__Anabaena PCC-7122"
"g__Azospirillum","bt_1021","g__Azospirillum"
"g__Aureispira","bt_1022","g__Aureispira"
"Unclass_f__UBA12411","bt_1023","Unclass_f__UBA12411"
"Unclass_f__Blattabacteriaceae","bt_1024","Unclass_f__Blattabacteriaceae"
"g__Wilmottia Ant-Ph58","bt_1025","g__Wilmottia Ant-Ph58"
"g__Leptolyngbya EcFYyyy-00","bt_1026","g__Leptolyngbya EcFYyyy-00"
"Unclass_f__Clostridiaceae","bt_1027","Unclass_f__Clostridiaceae"
"g__Parasediminibacterium","bt_1028","g__Parasediminibacterium"
"Unclass_o__eub62A3","bt_1029","Unclass_o__eub62A3"
"Unclass_f__Candidatus Jidaibacter","bt_1030","Unclass_f__Candidatus Jidaibacter"
"g__Tolypothrix","bt_1031","g__Tolypothrix"
"g__Methylopila","bt_1032","g__Methylopila"
"Unclass_f__Leptospiraceae","bt_1033","Unclass_f__Leptospiraceae"
"Unclass_f__Immundisolibacteraceae","bt_1034","Unclass_f__Immundisolibacteraceae"
"Unclass_o__Candidatus Brennerbacteria","bt_1035","Unclass_o__Candidatus Brennerbacteria"
"Unclass_o__Pla1 lineage","bt_1036","Unclass_o__Pla1 lineage"
"g__Sinomonas","bt_1037","g__Sinomonas"
"Unclass_o__Candidatus Lloydbacteria","bt_1038","Unclass_o__Candidatus Lloydbacteria"
"Unclass_f__Legionellaceae","bt_1039","Unclass_f__Legionellaceae"
"g__Chelatococcus","bt_1040","g__Chelatococcus"
"Unclass_o__AT-s3-44","bt_1041","Unclass_o__AT-s3-44"
"g__Agaricicola","bt_1042","g__Agaricicola"
"Unclass_c__Holophagae","bt_1043","Unclass_c__Holophagae"
"g__Thioclava","bt_1044","g__Thioclava"
"Unclass_f__Fodinicurvataceae","bt_1045","Unclass_f__Fodinicurvataceae"
"g__Geothrix","bt_1046","g__Geothrix"
"g__Alkanindiges","bt_1047","g__Alkanindiges"
"g__Candidatus Cardinium","bt_1048","g__Candidatus Cardinium"
"Unclass_p__TX1A-33","bt_1049","Unclass_p__TX1A-33"
"Unclass_o__Verrucomicrobiales","bt_1050","Unclass_o__Verrucomicrobiales"
"Unclass_f__Bacteriovoracaceae","bt_1051","Unclass_f__Bacteriovoracaceae"
"g__Pygmaiobacter","bt_1052","g__Pygmaiobacter"
"g__Paludibacter","bt_1053","g__Paludibacter"
"g__Roseburia","bt_1054","g__Roseburia"
"g__Desulfosporosinus","bt_1055","g__Desulfosporosinus"
"g__Bounagaea","bt_1056","g__Bounagaea"
"g__Clavibacter","bt_1057","g__Clavibacter"
"g__Thermasporomyces","bt_1058","g__Thermasporomyces"
"g__Dyella","bt_1059","g__Dyella"
"Unclass_o__Caenarcaniphilales","bt_1060","Unclass_o__Caenarcaniphilales"
"g__Desertibacter","bt_1061","g__Desertibacter"
"g__Belliella","bt_1062","g__Belliella"
"g__Phormidesmis ANT.L52.6","bt_1063","g__Phormidesmis ANT.L52.6"
"Unclass_f__Deinococcaceae","bt_1064","Unclass_f__Deinococcaceae"
"Unclass_o__OPB41","bt_1065","Unclass_o__OPB41"
"g__Prevotella","bt_1066","g__Prevotella"
"g__Helicobacter","bt_1067","g__Helicobacter"
"g__Myroides","bt_1068","g__Myroides"
"g__Urania-1B-19 marine sediment group","bt_1069","g__Urania-1B-19 marine sediment group"
"Unclass_f__Erysipelotrichaceae","bt_1070","Unclass_f__Erysipelotrichaceae"
"g__Lachnospiraceae AC2044 group","bt_1071","g__Lachnospiraceae AC2044 group"
"g__Mycoplasma","bt_1072","g__Mycoplasma"
"g__Parachlamydia","bt_1073","g__Parachlamydia"
"g__Moheibacter","bt_1074","g__Moheibacter"
"Unclass_o__Candidatus Daviesbacteria","bt_1075","Unclass_o__Candidatus Daviesbacteria"
"g__Marinoscillum","bt_1076","g__Marinoscillum"
"Unclass_o__Clostridia vadinBB60 group","bt_1077","Unclass_o__Clostridia vadinBB60 group"
"g__Desulfobulbus","bt_1078","g__Desulfobulbus"
"g__[Agitococcus] lubricus group","bt_1079","g__[Agitococcus] lubricus group"
"g__Ferribacterium","bt_1080","g__Ferribacterium"
"g__Cavicella","bt_1081","g__Cavicella"
"Unclass_o__Candidatus Collierbacteria","bt_1082","Unclass_o__Candidatus Collierbacteria"
"Unclass_f__Fokiniaceae","bt_1083","Unclass_f__Fokiniaceae"
"g__Desulfovibrio","bt_1084","g__Desulfovibrio"
"g__Oscillibacter","bt_1085","g__Oscillibacter"
"g__Cellulosilyticum","bt_1086","g__Cellulosilyticum"
"Unclass_f__Kiloniellaceae","bt_1087","Unclass_f__Kiloniellaceae"
"Unclass_f__CWT CU03-E12","bt_1088","Unclass_f__CWT CU03-E12"
"Unclass_o__WCHB1-41","bt_1089","Unclass_o__WCHB1-41"
"g__Rhodoligotrophos","bt_1090","g__Rhodoligotrophos"
"g__Rickettsiella","bt_1091","g__Rickettsiella"
"g__Micavibrio","bt_1092","g__Micavibrio"
"Unclass_k__Archaea","bt_1093","Unclass_k__Archaea"
"g__Ottowia","bt_1094","g__Ottowia"
"g__Pelosinus","bt_1095","g__Pelosinus"
"Unclass_f__Candidatus Spiroplasma","bt_1096","Unclass_f__Candidatus Spiroplasma"
"Unclass_f__UCG-010","bt_1097","Unclass_f__UCG-010"
"g__Alistipes","bt_1098","g__Alistipes"
"Unclass_c__028H05-P-BN-P5","bt_1099","Unclass_c__028H05-P-BN-P5"
"g__Thermoactinomyces","bt_1100","g__Thermoactinomyces"
"g__Candidatus Paenicardinium","bt_1101","g__Candidatus Paenicardinium"
"g__Saccharospirillum","bt_1102","g__Saccharospirillum"
"g__Procabacter","bt_1103","g__Procabacter"
"g__Candidatus Bealeia","bt_1104","g__Candidatus Bealeia"
"g__Alicyclobacillus","bt_1105","g__Alicyclobacillus"
