"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"g__GKS98 freshwater group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__GKS98 freshwater group",NA,NA,"g__GKS98 freshwater group","bt_660"
"g__Terracidiphilus","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Terracidiphilus",NA,NA,"g__Terracidiphilus","bt_661"
"Unclass_f__Gimesiaceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Gimesiaceae","Unclass_f__Gimesiaceae",NA,NA,"Unclass_f__Gimesiaceae","bt_662"
"Unclass_o__VHS-B3-70","k__Bacteria","p__Myxococcota","c__Polyangia","o__VHS-B3-70","f__","Unclass_o__VHS-B3-70",NA,NA,"Unclass_o__VHS-B3-70","bt_663"
"g__Tahibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Tahibacter",NA,NA,"g__Tahibacter","bt_664"
"g__Azohydromonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Azohydromonas",NA,NA,"g__Azohydromonas","bt_665"
"Unclass_c__Bathyarchaeia","k__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__","f__","Unclass_c__Bathyarchaeia",NA,NA,"Unclass_c__Bathyarchaeia","bt_666"
"Unclass_c__Bacilli","k__Bacteria","p__Firmicutes","c__Bacilli","o__","f__","Unclass_c__Bacilli",NA,NA,"Unclass_c__Bacilli","bt_667"
"Unclass_f__Cyclobacteriaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cyclobacteriaceae","Unclass_f__Cyclobacteriaceae",NA,NA,"Unclass_f__Cyclobacteriaceae","bt_668"
"Unclass_f__FFCH9454","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__FFCH9454","Unclass_f__FFCH9454",NA,NA,"Unclass_f__FFCH9454","bt_669"
"g__FFCH7168","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Chloroflexales","f__Chloroflexaceae","g__FFCH7168",NA,NA,"g__FFCH7168","bt_670"
"g__Sandarakinorhabdus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sandarakinorhabdus",NA,NA,"g__Sandarakinorhabdus","bt_671"
"g__Aliidongia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__Elsteraceae","g__Aliidongia",NA,NA,"g__Aliidongia","bt_672"
"g__Legionella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella",NA,NA,"g__Legionella","bt_673"
"g__Spirillospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Spirillospora",NA,NA,"g__Spirillospora","bt_674"
"Unclass_f__Chlamydiaceae","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Chlamydiaceae","Unclass_f__Chlamydiaceae",NA,NA,"Unclass_f__Chlamydiaceae","bt_675"
"g__Acidisoma","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Acidisoma",NA,NA,"g__Acidisoma","bt_676"
