"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"g__Paeniglutamicibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Paeniglutamicibacter",NA,NA,"g__Paeniglutamicibacter","bt_281"
"g__Paracoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Paracoccus",NA,NA,"g__Paracoccus","bt_282"
"g__Plot4-2H12","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Plot4-2H12",NA,NA,"g__Plot4-2H12","bt_283"
"Unclass_f__Geodermatophilaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Geodermatophilaceae","Unclass_f__Geodermatophilaceae",NA,NA,"Unclass_f__Geodermatophilaceae","bt_284"
"g__BIyi10","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__BIyi10",NA,NA,"g__BIyi10","bt_285"
"g__Iamia","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__Iamiaceae","g__Iamia",NA,NA,"g__Iamia","bt_286"
"g__Pajaroellobacter","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Pajaroellobacter",NA,NA,"g__Pajaroellobacter","bt_287"
"g__Ohtaekwangia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","g__Ohtaekwangia",NA,NA,"g__Ohtaekwangia","bt_288"
"g__Asticcacaulis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Asticcacaulis",NA,NA,"g__Asticcacaulis","bt_289"
"g__Candidatus Xiphinematobacter","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Xiphinematobacteraceae","g__Candidatus Xiphinematobacter",NA,NA,"g__Candidatus Xiphinematobacter","bt_290"
"g__Cloacibacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Weeksellaceae","g__Cloacibacterium",NA,NA,"g__Cloacibacterium","bt_291"
"Unclass_f__Acidiferrobacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Acidiferrobacterales","f__Acidiferrobacteraceae","Unclass_f__Acidiferrobacteraceae",NA,NA,"Unclass_f__Acidiferrobacteraceae","bt_292"
"g__Marmoricola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Marmoricola",NA,NA,"g__Marmoricola","bt_293"
"g__Pedosphaera","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__Pedosphaera",NA,NA,"g__Pedosphaera","bt_294"
"g__Pseudorhodoferax","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Pseudorhodoferax",NA,NA,"g__Pseudorhodoferax","bt_295"
"g__Polaromonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Polaromonas",NA,NA,"g__Polaromonas","bt_296"
"g__Vicinamibacter","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacter",NA,NA,"g__Vicinamibacter","bt_297"
"g__Edaphobaculum","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Edaphobaculum",NA,NA,"g__Edaphobaculum","bt_298"
"g__Labrys","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Labraceae","g__Labrys",NA,NA,"g__Labrys","bt_299"
"g__Oxalobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Oxalobacter",NA,NA,"g__Oxalobacter","bt_300"
"Unclass_f__Streptomycetaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","Unclass_f__Streptomycetaceae",NA,NA,"Unclass_f__Streptomycetaceae","bt_301"
"Unclass_c__JG30-KF-CM66","k__Bacteria","p__Chloroflexi","c__JG30-KF-CM66","o__","f__","Unclass_c__JG30-KF-CM66",NA,NA,"Unclass_c__JG30-KF-CM66","bt_302"
"g__Tundrisphaera","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","g__Tundrisphaera",NA,NA,"g__Tundrisphaera","bt_303"
"g__GTL1","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__GTL1",NA,NA,"g__GTL1","bt_304"
"g__Marisediminicola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Marisediminicola",NA,NA,"g__Marisediminicola","bt_305"
"g__Segetibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Segetibacter",NA,NA,"g__Segetibacter","bt_306"
"Unclass_o__DS-100","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__DS-100","f__","Unclass_o__DS-100",NA,NA,"Unclass_o__DS-100","bt_307"
"Unclass_o__Paludibaculum","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Paludibaculum","f__","Unclass_o__Paludibaculum",NA,NA,"Unclass_o__Paludibaculum","bt_308"
"g__Pir4 lineage","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__Pirellulaceae","g__Pir4 lineage",NA,NA,"g__Pir4 lineage","bt_309"
"g__Actinospica","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Catenulisporales","f__Actinospicaceae","g__Actinospica",NA,NA,"g__Actinospica","bt_310"
"Unclass_c__P2-11E","k__Bacteria","p__Chloroflexi","c__P2-11E","o__","f__","Unclass_c__P2-11E",NA,NA,"Unclass_c__P2-11E","bt_311"
"Unclass_o__Defluviicoccales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Defluviicoccales","f__","Unclass_o__Defluviicoccales",NA,NA,"Unclass_o__Defluviicoccales","bt_312"
"Unclass_f__Acidimicrobiaceae","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","Unclass_f__Acidimicrobiaceae",NA,NA,"Unclass_f__Acidimicrobiaceae","bt_313"
"Unclass_f__Devosiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Devosiaceae","Unclass_f__Devosiaceae",NA,NA,"Unclass_f__Devosiaceae","bt_314"
"Unclass_f__AKYH767","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__AKYH767","Unclass_f__AKYH767",NA,NA,"Unclass_f__AKYH767","bt_315"
"g__Lysobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Lysobacter",NA,NA,"g__Lysobacter","bt_316"
"g__Agromyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agromyces",NA,NA,"g__Agromyces","bt_317"
"g__Inquilinus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Inquilinaceae","g__Inquilinus",NA,NA,"g__Inquilinus","bt_318"
"Unclass_f__Fimbriimonadaceae","k__Bacteria","p__Armatimonadota","c__Fimbriimonadia","o__Fimbriimonadales","f__Fimbriimonadaceae","Unclass_f__Fimbriimonadaceae",NA,NA,"Unclass_f__Fimbriimonadaceae","bt_319"
"g__Roseococcus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Roseococcus",NA,NA,"g__Roseococcus","bt_320"
"g__Conyzicola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Conyzicola",NA,NA,"g__Conyzicola","bt_321"
"Unclass_o__Chitinophagales","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__","Unclass_o__Chitinophagales",NA,NA,"Unclass_o__Chitinophagales","bt_322"
"Unclass_f__Sphingobacteriaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","Unclass_f__Sphingobacteriaceae",NA,NA,"Unclass_f__Sphingobacteriaceae","bt_323"
"g__Actinocatenispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Actinocatenispora",NA,NA,"g__Actinocatenispora","bt_324"
"g__Citrifermentans","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__Geobacterales","f__Geobacteraceae","g__Citrifermentans",NA,NA,"g__Citrifermentans","bt_325"
"g__BacC-u-018","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__BacC-u-018",NA,NA,"g__BacC-u-018","bt_326"
"g__Acinetobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter",NA,NA,"g__Acinetobacter","bt_327"
"Unclass_o__Burkholderiales","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__","Unclass_o__Burkholderiales",NA,NA,"Unclass_o__Burkholderiales","bt_328"
"g__Candidatus Nitrotoga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Gallionellaceae","g__Candidatus Nitrotoga",NA,NA,"g__Candidatus Nitrotoga","bt_329"
"Unclass_o__Marine Group II","k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine Group II","f__","Unclass_o__Marine Group II",NA,NA,"Unclass_o__Marine Group II","bt_330"
"Unclass_f__Kineosporiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae","Unclass_f__Kineosporiaceae",NA,NA,"Unclass_f__Kineosporiaceae","bt_331"
"g__Methylotenera","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylotenera",NA,NA,"g__Methylotenera","bt_332"
"g__Candidatus Nitrocosmicus","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus Nitrocosmicus",NA,NA,"g__Candidatus Nitrocosmicus","bt_333"
"g__Friedmanniella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Friedmanniella",NA,NA,"g__Friedmanniella","bt_334"
"g__Agrococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agrococcus",NA,NA,"g__Agrococcus","bt_335"
"Unclass_f__Ktedonobacteraceae","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","Unclass_f__Ktedonobacteraceae",NA,NA,"Unclass_f__Ktedonobacteraceae","bt_336"
"g__Chryseolinea","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","g__Chryseolinea",NA,NA,"g__Chryseolinea","bt_337"
"g__Aeromicrobium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Aeromicrobium",NA,NA,"g__Aeromicrobium","bt_338"
"g__Thermosporothrix","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__Thermosporothrix",NA,NA,"g__Thermosporothrix","bt_339"
"Unclass_o__Lineage IV","k__Bacteria","p__Elusimicrobiota","c__Elusimicrobia","o__Lineage IV","f__","Unclass_o__Lineage IV",NA,NA,"Unclass_o__Lineage IV","bt_340"
"Unclass_f__Anaerolineaceae","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","Unclass_f__Anaerolineaceae",NA,NA,"Unclass_f__Anaerolineaceae","bt_341"
"g__Aminobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Aminobacter",NA,NA,"g__Aminobacter","bt_342"
"g__Cytophaga","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cytophagaceae","g__Cytophaga",NA,NA,"g__Cytophaga","bt_343"
"Unclass_f__NS11-12 marine group","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__NS11-12 marine group","Unclass_f__NS11-12 marine group",NA,NA,"Unclass_f__NS11-12 marine group","bt_344"
"g__Roseimicrobium","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Roseimicrobium",NA,NA,"g__Roseimicrobium","bt_345"
"g__Rubellimicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Rubellimicrobium",NA,NA,"g__Rubellimicrobium","bt_346"
"g__Pigmentiphaga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Pigmentiphaga",NA,NA,"g__Pigmentiphaga","bt_347"
"g__Denitratisoma","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Denitratisoma",NA,NA,"g__Denitratisoma","bt_348"
"g__SM1A02","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__SM1A02",NA,NA,"g__SM1A02","bt_349"
"Unclass_o__Candidatus Zambryskibacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Zambryskibacteria","f__","Unclass_o__Candidatus Zambryskibacteria",NA,NA,"Unclass_o__Candidatus Zambryskibacteria","bt_350"
"g__Rhodopirellula","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__Pirellulaceae","g__Rhodopirellula",NA,NA,"g__Rhodopirellula","bt_351"
"g__Cupriavidus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus",NA,NA,"g__Cupriavidus","bt_352"
"Unclass_o__Zavarziniales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Zavarziniales","f__","Unclass_o__Zavarziniales",NA,NA,"Unclass_o__Zavarziniales","bt_353"
"Unclass_p__NB1-j","k__Bacteria","p__NB1-j","c__","o__","f__","Unclass_p__NB1-j",NA,NA,"Unclass_p__NB1-j","bt_354"
"g__Domibacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Domibacillus",NA,NA,"g__Domibacillus","bt_355"
"g__Phytohabitans","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Phytohabitans",NA,NA,"g__Phytohabitans","bt_356"
"g__Luteimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Luteimonas",NA,NA,"g__Luteimonas","bt_357"
"Unclass_c__Pla3 lineage","k__Bacteria","p__Planctomycetota","c__Pla3 lineage","o__","f__","Unclass_c__Pla3 lineage",NA,NA,"Unclass_c__Pla3 lineage","bt_358"
"g__Sorangium","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Sorangium",NA,NA,"g__Sorangium","bt_359"
"g__Verrucomicrobium","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Verrucomicrobium",NA,NA,"g__Verrucomicrobium","bt_360"
"g__Cutibacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium",NA,NA,"g__Cutibacterium","bt_361"
"g__Paenarthrobacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Paenarthrobacter",NA,NA,"g__Paenarthrobacter","bt_362"
"g__Zavarzinella","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","g__Zavarzinella",NA,NA,"g__Zavarzinella","bt_363"
"g__Roseiarcus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Roseiarcus",NA,NA,"g__Roseiarcus","bt_364"
"g__Candidatus Nitrososphaera","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus Nitrososphaera",NA,NA,"g__Candidatus Nitrososphaera","bt_365"
"g__Siccirubricoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Siccirubricoccus",NA,NA,"g__Siccirubricoccus","bt_366"
"g__Streptosporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Streptosporangium",NA,NA,"g__Streptosporangium","bt_367"
"g__Minicystis","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Minicystis",NA,NA,"g__Minicystis","bt_368"
"g__Methylobacterium-Methylorubrum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylobacterium-Methylorubrum",NA,NA,"g__Methylobacterium-Methylorubrum","bt_369"
"Unclass_c__vadinHA49","k__Bacteria","p__Planctomycetota","c__vadinHA49","o__","f__","Unclass_c__vadinHA49",NA,NA,"Unclass_c__vadinHA49","bt_370"
"g__Fluviicola","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Crocinitomicaceae","g__Fluviicola",NA,NA,"g__Fluviicola","bt_371"
"g__Cohnella","k__Bacteria","p__Firmicutes","c__Bacilli","o__Paenibacillales","f__Paenibacillaceae","g__Cohnella",NA,NA,"g__Cohnella","bt_372"
"g__Belnapia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Belnapia",NA,NA,"g__Belnapia","bt_373"
"Unclass_c__OM190","k__Bacteria","p__Planctomycetota","c__OM190","o__","f__","Unclass_c__OM190",NA,NA,"Unclass_c__OM190","bt_374"
"g__Virgisporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Virgisporangium",NA,NA,"g__Virgisporangium","bt_375"
"Unclass_f__Verrucomicrobiaceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","Unclass_f__Verrucomicrobiaceae",NA,NA,"Unclass_f__Verrucomicrobiaceae","bt_376"
"g__Brevibacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium",NA,NA,"g__Brevibacterium","bt_377"
"Unclass_f__CPla-3 termite group","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Tepidisphaerales","f__CPla-3 termite group","Unclass_f__CPla-3 termite group",NA,NA,"Unclass_f__CPla-3 termite group","bt_378"
"g__Saccharothrix","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharothrix",NA,NA,"g__Saccharothrix","bt_379"
"g__Gemmata","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","g__Gemmata",NA,NA,"g__Gemmata","bt_380"
"Unclass_o__JG36-GS-52","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__JG36-GS-52","f__","Unclass_o__JG36-GS-52",NA,NA,"Unclass_o__JG36-GS-52","bt_381"
"Unclass_f__211ds20","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__211ds20","Unclass_f__211ds20",NA,NA,"Unclass_f__211ds20","bt_382"
"g__Streptacidiphilus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptacidiphilus",NA,NA,"g__Streptacidiphilus","bt_383"
"g__Aridibacter","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","g__Aridibacter",NA,NA,"g__Aridibacter","bt_384"
"Unclass_f__Sphingomonadaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","Unclass_f__Sphingomonadaceae",NA,NA,"Unclass_f__Sphingomonadaceae","bt_385"
"g__DEV008","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__DEV008",NA,NA,"g__DEV008","bt_386"
"Unclass_o__Candidatus Curtissbacteria","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Candidatus Curtissbacteria","f__","Unclass_o__Candidatus Curtissbacteria",NA,NA,"Unclass_o__Candidatus Curtissbacteria","bt_387"
"g__Terrimonas","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Terrimonas",NA,NA,"g__Terrimonas","bt_388"
"Unclass_c__S0134 terrestrial group","k__Bacteria","p__Gemmatimonadota","c__S0134 terrestrial group","o__","f__","Unclass_c__S0134 terrestrial group",NA,NA,"Unclass_c__S0134 terrestrial group","bt_389"
"g__Rhodoferax","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhodoferax",NA,NA,"g__Rhodoferax","bt_390"
"g__Subgroup 10","k__Bacteria","p__Acidobacteriota","c__Thermoanaerobaculia","o__Thermoanaerobaculales","f__Thermoanaerobaculaceae","g__Subgroup 10",NA,NA,"g__Subgroup 10","bt_391"
"g__Nannocystis","k__Bacteria","p__Myxococcota","c__Polyangia","o__Nannocystales","f__Nannocystaceae","g__Nannocystis",NA,NA,"g__Nannocystis","bt_392"
"g__Acidipila-Silvibacterium","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Acidipila-Silvibacterium",NA,NA,"g__Acidipila-Silvibacterium","bt_393"
"g__Myxococcus","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Myxococcus",NA,NA,"g__Myxococcus","bt_394"
"g__Schlesneria","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Schlesneriaceae","g__Schlesneria",NA,NA,"g__Schlesneria","bt_395"
"Unclass_o__R7C24","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__R7C24","f__","Unclass_o__R7C24",NA,NA,"Unclass_o__R7C24","bt_396"
"g__Planococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Planococcus",NA,NA,"g__Planococcus","bt_397"
"Unclass_o__Thalassobaculales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Thalassobaculales","f__","Unclass_o__Thalassobaculales",NA,NA,"Unclass_o__Thalassobaculales","bt_398"
"g__Methylocella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylocella",NA,NA,"g__Methylocella","bt_399"
"g__Blastocatella","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","g__Blastocatella",NA,NA,"g__Blastocatella","bt_400"
"Unclass_f__Paenibacillaceae","k__Bacteria","p__Firmicutes","c__Bacilli","o__Paenibacillales","f__Paenibacillaceae","Unclass_f__Paenibacillaceae",NA,NA,"Unclass_f__Paenibacillaceae","bt_401"
"g__Oligoflexus","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__Oligoflexales","f__Oligoflexaceae","g__Oligoflexus",NA,NA,"g__Oligoflexus","bt_402"
"g__Terrimicrobium","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Terrimicrobiaceae","g__Terrimicrobium",NA,NA,"g__Terrimicrobium","bt_403"
"Unclass_c__Sericytochromatia","k__Bacteria","p__Cyanobacteria","c__Sericytochromatia","o__","f__","Unclass_c__Sericytochromatia",NA,NA,"Unclass_c__Sericytochromatia","bt_404"
"g__Pontibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Pontibacter",NA,NA,"g__Pontibacter","bt_405"
"Unclass_o__Azospirillales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__","Unclass_o__Azospirillales",NA,NA,"Unclass_o__Azospirillales","bt_406"
"Unclass_o__S085","k__Bacteria","p__Chloroflexi","c__Dehalococcoidia","o__S085","f__","Unclass_o__S085",NA,NA,"Unclass_o__S085","bt_407"
"Unclass_f__Rhodanobacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","Unclass_f__Rhodanobacteraceae",NA,NA,"Unclass_f__Rhodanobacteraceae","bt_408"
"Unclass_f__Steroidobacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Steroidobacterales","f__Steroidobacteraceae","Unclass_f__Steroidobacteraceae",NA,NA,"Unclass_f__Steroidobacteraceae","bt_409"
"Unclass_p__GAL15","k__Bacteria","p__GAL15","c__","o__","f__","Unclass_p__GAL15",NA,NA,"Unclass_p__GAL15","bt_410"
"g__Aetherobacter","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Aetherobacter",NA,NA,"g__Aetherobacter","bt_411"
"g__Jahnella","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Jahnella",NA,NA,"g__Jahnella","bt_412"
"g__Pedococcus-Phycicoccus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Pedococcus-Phycicoccus",NA,NA,"g__Pedococcus-Phycicoccus","bt_413"
"Unclass_o__EC3","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__EC3","f__","Unclass_o__EC3",NA,NA,"Unclass_o__EC3","bt_414"
"g__Hyphomicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Hyphomicrobium",NA,NA,"g__Hyphomicrobium","bt_415"
"g__Planomicrobium","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Planomicrobium",NA,NA,"g__Planomicrobium","bt_416"
"g__Candidatus Berkiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__","f__","g__Candidatus Berkiella",NA,NA,"g__Candidatus Berkiella","bt_417"
"g__Kocuria","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Kocuria",NA,NA,"g__Kocuria","bt_418"
"g__Kineosporia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae","g__Kineosporia",NA,NA,"g__Kineosporia","bt_419"
