Animal_biotrophic_capacity_template,,animal-associated,animal-associated/opportunistic_human_parasite,animal_parasite,animal_parasite/opportunistic_human_parasite,arthropod-associated,arthropod_parasite,fish_parasite,invertebrate-associated,invertebrate_parasite,nematophagous,opportunistic_animal_parasite,opportunistic_animal_parasite_G._destructans,opportunistic_human_parasite,vertebrate-associated,NA
DO_PCR_R_bc003_PCR_F_bc004_R1.fastq.gz,6.151559e-01,0.000000e+00,7.585502e-04,1.541129e-02,6.327533e-03,1.272103e-03,1.842193e-03,0.000000e+00,7.302812e-04,3.382851e-03,7.208582e-04,5.653790e-05,6.124939e-05,7.365475e-02,0.000000e+00,2.806259e-01
DO_PCR_R_bc003_PCR_F_bc005_R1.fastq.gz,0.6264100089,0.0000000000,0.0115053504,0.0268122938,0.0050607450,0.0006879073,0.0000000000,0.0000000000,0.0000000000,0.0000482742,0.0000804570,0.0018183281,0.0115737388,0.1112800708,0.0000000000,0.2047228256
DO_PCR_R_bc003_PCR_F_bc006_R1.fastq.gz,6.311880e-01,5.028928e-05,2.945515e-04,4.174010e-03,1.793651e-03,5.292348e-04,6.705238e-05,0.000000e+00,3.141883e-03,1.566152e-03,5.244454e-04,2.155255e-05,1.412889e-03,7.493103e-03,1.436837e-05,3.477288e-01
DO_PCR_R_bc003_PCR_F_bc007_R1.fastq.gz,9.224613e-01,3.347034e-05,1.657828e-04,1.857081e-03,1.432949e-04,3.163993e-04,8.325746e-04,0.000000e+00,2.144193e-05,4.324995e-04,1.966382e-04,6.798662e-06,5.930525e-04,7.146440e-03,0.000000e+00,6.579327e-02
DO_PCR_R_bc003_PCR_F_bc008_R1.fastq.gz,4.921588e-01,1.359960e-04,2.648343e-03,1.338487e-02,3.797151e-03,8.589221e-04,0.000000e+00,0.000000e+00,4.223033e-04,1.789421e-05,2.830864e-03,7.587145e-04,3.550211e-03,4.406628e-02,0.000000e+00,4.353697e-01
DO_PCR_R_bc003_PCR_F_bc009_R1.fastq.gz,0.7931298177,0.0000000000,0.0007603433,0.0159803185,0.0024164933,0.0015119470,0.0001092447,0.0000000000,0.0001529426,0.0011361451,0.0045271014,0.0000000000,0.0000000000,0.0048329867,0.0001616822,0.1752809774
DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz,0.8422595866,0.0000000000,0.0006778011,0.0005654584,0.0002546435,0.0014192630,0.0002658778,0.0000000000,0.0000000000,0.0003070701,0.0009998502,0.0000000000,0.0000000000,0.0034152187,0.0000000000,0.1498352307
DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz,0.4372424003,0.0000000000,0.0008344128,0.0283431186,0.0092963007,0.0008815167,0.0000000000,0.0000000000,0.0011809633,0.0033847551,0.0197601063,0.0011910570,0.0087478761,0.1412277308,0.0000000000,0.3479097623
DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz,8.267696e-01,5.373314e-04,9.173951e-04,3.564735e-03,1.834790e-04,1.467832e-03,1.952741e-03,0.000000e+00,7.863387e-05,6.552822e-04,8.453141e-03,0.000000e+00,4.849089e-04,1.102185e-02,0.000000e+00,1.439131e-01
DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz,5.796620e-01,5.640214e-05,2.636278e-04,3.683687e-03,8.573126e-04,6.133211e-04,1.304770e-03,0.000000e+00,2.030477e-04,6.043803e-03,4.333774e-03,0.000000e+00,3.062428e-04,6.939971e-03,3.342349e-06,3.957287e-01
DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz,0.3000688674,0.0000000000,0.0005256875,0.0775607181,0.0147605711,0.0007001515,0.0051122538,0.0000000000,0.0042330472,0.0059386621,0.0011937009,0.0003121987,0.0017630045,0.1198016620,0.0000000000,0.4680294752
DO_PCR_R_bc003_PCR_F_bc015_R1.fastq.gz,4.874353e-01,0.000000e+00,4.308598e-03,4.630925e-02,5.540663e-03,3.225455e-04,1.126003e-04,0.000000e+00,0.000000e+00,2.419091e-04,8.471904e-03,4.002761e-04,6.821401e-04,1.882482e-01,4.358723e-06,2.579223e-01
DO_PCR_R_bc003_PCR_F_bc016_R1.fastq.gz,9.703245e-01,0.000000e+00,3.719485e-04,6.754585e-04,5.653618e-05,8.063844e-04,1.249747e-04,0.000000e+00,0.000000e+00,5.969030e-03,7.915065e-04,0.000000e+00,0.000000e+00,2.835736e-03,0.000000e+00,1.804397e-02
DO_PCR_R_bc003_PCR_F_bc017_R1.fastq.gz,0.654471545,0.000000000,0.052106430,0.000000000,0.000000000,0.086474501,0.000000000,0.000000000,0.000000000,0.000000000,0.005173688,0.000000000,0.000000000,0.026977088,0.000000000,0.174796748
DO_PCR_R_bc003_PCR_F_bc018_R1.fastq.gz,1.357897e-03,0.000000e+00,3.540253e-01,2.857871e-06,0.000000e+00,6.438309e-01,4.082672e-07,0.000000e+00,0.000000e+00,4.899207e-06,7.757078e-06,0.000000e+00,0.000000e+00,8.900226e-05,0.000000e+00,6.809898e-04
DO_PCR_R_bc003_PCR_F_bc019_R1.fastq.gz,0.7076620825,0.0000000000,0.0322200393,0.0000000000,0.0000000000,0.0734774067,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007858546,0.0000000000,0.0000000000,0.0255402750,0.0000000000,0.1603143418
