Specific_hosts,,Fabaceae,Fragaria,"Mucorales,Ascomycota",Oncorhynchus,Pinaceae,Pinus,Poaceae,Rhizopoda,Stereum,Tectona,Thelebolales,algae,amoebae,angiosperms,mosses,snakes,NA
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,8.303918e-01,0.000000e+00,8.553728e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.695227e-01
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.6469372493,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005710789,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007342443,0.0010741723,0.0000000000,0.3506832551
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,8.463422e-01,0.000000e+00,0.000000e+00,3.673241e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.061034e-06,0.000000e+00,2.142724e-05,0.000000e+00,2.448827e-05,3.979344e-05,3.214086e-04,0.000000e+00,1.532109e-01
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,7.029197e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.421178e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.970768e-01
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,6.933521e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.972201e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.566641e-05,0.000000e+00,0.000000e+00,5.647182e-05,3.031645e-04,0.000000e+00,3.062229e-01
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,8.228823e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.835699e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.754012e-05,1.002293e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.681133e-04,3.031936e-03,0.000000e+00,1.554331e-01
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,8.075096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.103842e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.701227e-06,0.000000e+00,0.000000e+00,0.000000e+00,5.476428e-05,0.000000e+00,1.923176e-01
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,8.376673e-01,0.000000e+00,0.000000e+00,5.891792e-05,2.079456e-05,5.891792e-04,3.465760e-04,0.000000e+00,5.891792e-05,1.351646e-04,0.000000e+00,3.465760e-05,0.000000e+00,0.000000e+00,2.807266e-04,5.094667e-04,9.357552e-05,1.602048e-01
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,6.094775e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.903913e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.528663e-05,0.000000e+00,3.901568e-01
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,9.009183e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.651910e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.128878e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.810518e-02
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.788981289,0.000000000,0.000000000,0.000000000,0.000000000,0.001559252,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.209459459
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,6.853060e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.225874e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.362193e-05,0.000000e+00,1.090548e-05,4.362193e-04,0.000000e+00,1.853932e-04,0.000000e+00,0.000000e+00,3.135953e-01
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,8.690451e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.232531e-05,0.000000e+00,1.308725e-01
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,9.217209e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.638196e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.876552e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.687887e-05,7.788817e-02
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,9.492256e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.924774e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.072517e-02
