Secondary_lifestyle,,algal_decomposer,algal_parasite,animal_decomposer,animal_parasite,arthropod-associated,bryophilous,dung_saprotroph,epiphyte,ericoid_mycorrhizal,foliar_endophyte,fungal_decomposer,insect-associated,litter_saprotroph,nematophagous,plant_pathogen,pollen_saprotroph,rock-inhabiting,root-associated,root_endophyte,root_endophyte_dark_septate,soil_saprotroph,unspecified_symbiotroph,vertebrate-associated,wood_saprotroph,NA
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,8.549703e-01,0.000000e+00,0.000000e+00,1.009857e-03,1.866040e-04,1.920924e-05,0.000000e+00,9.192992e-04,7.820904e-04,3.293012e-05,2.324318e-03,7.409278e-05,0.000000e+00,4.135475e-03,0.000000e+00,1.920924e-05,0.000000e+00,0.000000e+00,1.739808e-03,2.530131e-03,0.000000e+00,1.728831e-04,0.000000e+00,0.000000e+00,2.113016e-04,1.308725e-01
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,7.600292e-01,4.056675e-04,0.000000e+00,8.836177e-03,9.514748e-04,2.507763e-04,0.000000e+00,2.950309e-05,1.696428e-03,6.712691e-02,4.226318e-03,1.902950e-03,0.000000e+00,1.494332e-02,0.000000e+00,1.637422e-03,0.000000e+00,3.687887e-05,1.947204e-03,1.749533e-02,1.106366e-04,1.860908e-02,0.000000e+00,3.687887e-05,2.183967e-02,7.788817e-02
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,0.8876757529,0.0000000000,0.0000000000,0.0052054862,0.0002068405,0.0000000000,0.0000000000,0.0004038315,0.0007731895,0.0000000000,0.0107704809,0.0000000000,0.0000000000,0.0331831277,0.0000000000,0.0006057472,0.0000000000,0.0000000000,0.0076777228,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0027726478,0.0507251730
DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz,7.531835e-01,1.017520e-04,8.743136e-04,7.289213e-02,9.191599e-03,4.899171e-05,0.000000e+00,2.999800e-03,1.775007e-03,5.012229e-04,4.684361e-03,7.122641e-04,0.000000e+00,3.783668e-03,0.000000e+00,1.658181e-03,0.000000e+00,1.055206e-04,1.729784e-03,2.822676e-03,0.000000e+00,3.429420e-04,0.000000e+00,1.130578e-05,3.685684e-03,1.388953e-01
DO_PCR_R_bc003_PCR_F_bc001_R1.fastq.gz,0.9120114607,0.0000000000,0.0000000000,0.0046270758,0.0001481982,0.0000000000,0.0000000000,0.0003046295,0.0005680929,0.0003293292,0.0072822928,0.0002222972,0.0000000000,0.0032191933,0.0000000000,0.0004363612,0.0000000000,0.0000000000,0.0007245243,0.0281494167,0.0000000000,0.0011814686,0.0000000000,0.0000000000,0.0001893643,0.0406062951
DO_PCR_R_bc003_PCR_F_bc002_R1.fastq.gz,3.455409e-01,0.000000e+00,0.000000e+00,8.098322e-03,2.129203e-03,0.000000e+00,0.000000e+00,4.218040e-02,2.309753e-03,1.175253e-02,1.227825e-01,3.293107e-03,0.000000e+00,9.715988e-02,0.000000e+00,1.213555e-03,0.000000e+00,0.000000e+00,1.797764e-02,1.168418e-03,6.499808e-04,7.313574e-03,3.611005e-05,0.000000e+00,1.547573e-03,3.348465e-01
DO_PCR_R_bc003_PCR_F_bc003_R1.fastq.gz,8.519939e-01,0.000000e+00,0.000000e+00,3.467488e-03,2.342332e-04,4.182735e-06,0.000000e+00,8.156334e-04,0.000000e+00,1.756749e-04,3.124503e-03,1.254821e-05,0.000000e+00,4.693029e-03,0.000000e+00,1.171166e-04,0.000000e+00,0.000000e+00,5.010917e-03,1.011385e-02,2.258677e-04,1.422130e-04,0.000000e+00,0.000000e+00,2.346515e-03,1.175223e-01
DO_PCR_R_bc003_PCR_F_bc004_R1.fastq.gz,5.435742e-01,1.507677e-04,4.711492e-06,1.759271e-02,3.995345e-03,3.298044e-05,0.000000e+00,7.302812e-04,9.658558e-04,2.638435e-04,7.641097e-02,6.148497e-03,0.000000e+00,5.046008e-03,0.000000e+00,8.245111e-04,0.000000e+00,1.036528e-04,1.453966e-02,4.739761e-02,1.272103e-04,5.135526e-04,0.000000e+00,0.000000e+00,9.517213e-04,2.806259e-01
DO_PCR_R_bc003_PCR_F_bc005_R1.fastq.gz,2.622898e-01,1.609140e-05,1.387883e-03,1.309035e-02,6.758388e-04,0.000000e+00,0.000000e+00,5.229705e-05,2.030332e-02,1.770054e-04,3.879274e-01,1.009735e-03,0.000000e+00,5.467857e-02,0.000000e+00,8.564647e-03,0.000000e+00,1.782122e-03,1.354091e-02,5.390619e-04,3.544131e-03,2.795881e-03,1.206855e-05,0.000000e+00,2.289002e-02,2.047228e-01
DO_PCR_R_bc003_PCR_F_bc006_R1.fastq.gz,5.879536e-01,0.000000e+00,6.106556e-04,5.419269e-03,1.568547e-03,0.000000e+00,0.000000e+00,3.766907e-03,1.384153e-03,1.460784e-04,7.615234e-03,3.400513e-04,0.000000e+00,2.022108e-02,0.000000e+00,4.717614e-04,0.000000e+00,0.000000e+00,5.455190e-03,3.113146e-04,1.029733e-04,1.077627e-04,0.000000e+00,1.436837e-05,1.678225e-02,3.477288e-01
