Ectomycorrhiza_lineage_template,,/cantharellus,/cenococcum,/clavulina,/coltricia,/cortinarius,/densospora,/elaphomyces,/endogone3,/entoloma,/genea-humaria,/geopora,/hebeloma-alnicola,/hysterangium,/inocybe,/laccaria,/marcelleina-peziza_gerardii,/otidea,/pachyphloeus-amylascus,/paralyophyllum,/paxillus-gyrodon,/phaeohelotium,/pisolithus-scleroderma,/pseudotomentella,/pulvinula,/pustularia,/russula-lactarius,/sebacina,/sphaerosporella,/sphaerosporella (T. woolhopeia clade) or /wilcoxina (T. hybrida group),/suillus-rhizopogon,/terfezia-peziza_depressa,/tomentella-thelephora,/tuber-helvella,NA
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,6.905582e-01,0.000000e+00,2.288595e-04,1.278046e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.674981e-05,0.000000e+00,0.000000e+00,7.133282e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.674981e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.528294e-04,0.000000e+00,8.084387e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.972201e-05,1.129436e-04,6.806340e-04,5.528294e-04,3.062229e-01
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,6.524149e-01,0.000000e+00,5.442951e-02,3.257451e-05,0.000000e+00,1.313003e-03,0.000000e+00,1.503439e-04,0.000000e+00,2.430560e-04,3.508025e-05,0.000000e+00,5.011464e-06,5.262037e-05,0.000000e+00,1.603668e-04,1.252866e-05,3.257451e-04,0.000000e+00,9.872584e-04,6.565017e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.002293e-04,0.000000e+00,6.514903e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.835699e-02,0.000000e+00,2.597442e-02,8.925166e-02,1.554331e-01
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,4.915607e-02,0.000000e+00,6.235084e-02,5.949369e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.838330e-03,0.000000e+00,0.000000e+00,4.539445e-02,5.055427e-03,0.000000e+00,0.000000e+00,3.422767e-06,0.000000e+00,3.873974e-02,5.989843e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.251629e-05,0.000000e+00,4.069499e-02,0.000000e+00,5.390859e-05,0.000000e+00,1.103842e-04,1.721994e-02,4.557355e-01,3.079721e-02,1.923176e-01
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,8.337198e-01,5.545216e-05,4.574803e-04,2.391374e-04,0.000000e+00,3.465760e-06,0.000000e+00,0.000000e+00,8.976318e-04,0.000000e+00,6.931520e-05,2.391374e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.198640e-05,0.000000e+00,0.000000e+00,8.664400e-04,5.198640e-05,5.129325e-04,7.624672e-05,0.000000e+00,3.049869e-04,0.000000e+00,2.356717e-04,0.000000e+00,0.000000e+00,0.000000e+00,5.891792e-04,6.931520e-06,8.941661e-04,5.233298e-04,1.602048e-01
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,3.015552e-01,0.000000e+00,4.388135e-03,7.206006e-04,0.000000e+00,7.313558e-04,0.000000e+00,3.226570e-04,0.000000e+00,0.000000e+00,3.109338e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.121513e-02,0.000000e+00,1.505733e-04,1.613285e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.226570e-05,0.000000e+00,4.368775e-02,0.000000e+00,1.365915e-03,0.000000e+00,0.000000e+00,7.528663e-05,2.903913e-04,6.453139e-05,4.553765e-02,8.845103e-02,3.901568e-01
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,9.464517e-02,0.000000e+00,1.328464e-01,3.835929e-02,0.000000e+00,8.748808e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.693318e-05,0.000000e+00,3.386635e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.644392e-06,0.000000e+00,7.657182e-02,3.984941e-03,3.104416e-04,0.000000e+00,4.965597e-01,0.000000e+00,0.000000e+00,0.000000e+00,9.651910e-04,9.448712e-03,2.687859e-02,1.251926e-02,9.810518e-02
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.473492723,0.000000000,0.048856549,0.025987526,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002598753,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.007796258,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.023388773,0.000000000,0.042619543,0.000000000,0.000000000,0.000000000,0.001559252,0.000000000,0.110706861,0.053534304,0.209459459
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,6.551932e-01,0.000000e+00,1.423165e-03,2.072042e-04,0.000000e+00,1.090548e-05,8.179112e-06,1.090548e-05,0.000000e+00,0.000000e+00,1.008757e-04,0.000000e+00,0.000000e+00,0.000000e+00,8.997023e-05,0.000000e+00,8.451749e-05,0.000000e+00,0.000000e+00,3.217117e-04,0.000000e+00,0.000000e+00,1.090548e-04,0.000000e+00,1.638549e-03,0.000000e+00,5.888960e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.225874e-04,3.154411e-03,2.769992e-03,2.027057e-02,3.135953e-01
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,2.168997e-02,0.000000e+00,5.248787e-02,2.083626e-01,0.000000e+00,1.362484e-02,0.000000e+00,8.158438e-03,0.000000e+00,0.000000e+00,5.930441e-02,0.000000e+00,1.728831e-04,0.000000e+00,2.615201e-03,0.000000e+00,5.495763e-02,0.000000e+00,6.402165e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.744177e-06,0.000000e+00,6.448816e-04,0.000000e+00,1.257986e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.166736e-02,2.274291e-01,3.580876e-02,1.308725e-01
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,1.842763e-01,0.000000e+00,2.517942e-01,3.682797e-01,2.950309e-05,3.655433e-02,0.000000e+00,2.615449e-02,0.000000e+00,0.000000e+00,5.384315e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.534161e-03,0.000000e+00,7.375774e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.957294e-04,0.000000e+00,6.121892e-04,0.000000e+00,5.900619e-05,0.000000e+00,6.638196e-05,0.000000e+00,4.957257e-02,1.571040e-03,7.788817e-02
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,9.462116e-01,0.000000e+00,4.383049e-04,1.723671e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.909729e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.909729e-05,0.000000e+00,0.000000e+00,3.595085e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.288666e-04,0.000000e+00,2.610130e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.924774e-05,0.000000e+00,3.447342e-04,5.909729e-04,5.072517e-02
DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz,1.350174e-01,0.000000e+00,2.654107e-01,1.479587e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.346511e-03,0.000000e+00,0.000000e+00,2.638015e-04,4.145453e-05,0.000000e+00,0.000000e+00,3.643476e-02,0.000000e+00,7.537187e-05,4.931958e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.165618e-04,0.000000e+00,3.542478e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.261156e-05,2.261156e-05,2.121530e-01,1.036740e-02,1.388953e-01
DO_PCR_R_bc003_PCR_F_bc001_R1.fastq.gz,5.872764e-02,0.000000e+00,2.729316e-02,1.274916e-02,0.000000e+00,6.117867e-01,0.000000e+00,4.445945e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.503577e-03,0.000000e+00,0.000000e+00,3.704954e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.116615e-06,0.000000e+00,9.571131e-02,2.823998e-03,1.313200e-03,0.000000e+00,7.937658e-02,0.000000e+00,0.000000e+00,6.174923e-05,9.509382e-04,2.313538e-03,5.996262e-02,1.333783e-03,4.060630e-02
DO_PCR_R_bc003_PCR_F_bc002_R1.fastq.gz,4.302983e-01,0.000000e+00,2.491980e-02,2.256878e-05,0.000000e+00,9.156476e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.865780e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.998949e-05,0.000000e+00,1.755354e-01,0.000000e+00,2.110310e-02,2.289119e-04,0.000000e+00,0.000000e+00,2.095672e-04,0.000000e+00,3.198318e-04,1.230579e-02,3.348465e-01
DO_PCR_R_bc003_PCR_F_bc003_R1.fastq.gz,4.310727e-02,0.000000e+00,9.252211e-02,1.124361e-01,0.000000e+00,5.641255e-02,0.000000e+00,1.840404e-04,0.000000e+00,0.000000e+00,2.950920e-02,0.000000e+00,1.325091e-02,0.000000e+00,1.417738e-01,0.000000e+00,2.003530e-03,1.840404e-04,4.977455e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.182735e-05,0.000000e+00,4.642836e-04,0.000000e+00,2.948577e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.675972e-03,2.870193e-02,6.085462e-02,1.175223e-01
DO_PCR_R_bc003_PCR_F_bc004_R1.fastq.gz,2.215673e-01,0.000000e+00,5.013970e-02,1.036528e-04,0.000000e+00,3.769193e-04,0.000000e+00,6.261573e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.083643e-04,8.480685e-05,0.000000e+00,4.711492e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.413448e-04,0.000000e+00,0.000000e+00,2.758814e-01,0.000000e+00,9.093179e-04,0.000000e+00,1.024985e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.816308e-04,2.399092e-02,3.639627e-02,5.276871e-04,2.806259e-01
DO_PCR_R_bc003_PCR_F_bc005_R1.fastq.gz,7.783168e-01,0.000000e+00,5.229705e-05,2.815995e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.643415e-05,0.000000e+00,0.000000e+00,4.022850e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.291335e-03,0.000000e+00,0.000000e+00,2.815995e-05,0.000000e+00,6.476788e-04,0.000000e+00,9.252555e-05,0.000000e+00,7.080216e-04,5.390619e-04,1.086169e-04,0.000000e+00,3.660793e-04,1.301794e-02,2.047228e-01
DO_PCR_R_bc003_PCR_F_bc006_R1.fastq.gz,8.139201e-02,0.000000e+00,3.665131e-02,1.387266e-02,0.000000e+00,5.004981e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.119334e-03,0.000000e+00,5.028928e-04,0.000000e+00,2.579122e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.614047e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.352619e-05,0.000000e+00,6.298134e-04,0.000000e+00,3.084864e-01,0.000000e+00,2.610253e-04,0.000000e+00,1.436837e-04,1.436837e-02,5.629526e-02,1.096091e-01,3.477288e-01
DO_PCR_R_bc003_PCR_F_bc007_R1.fastq.gz,9.333365e-01,0.000000e+00,0.000000e+00,2.457978e-05,0.000000e+00,1.009340e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.190141e-05,0.000000e+00,1.935004e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.980952e-05,0.000000e+00,3.038479e-04,0.000000e+00,8.524476e-05,0.000000e+00,1.255138e-05,0.000000e+00,0.000000e+00,5.177442e-05,2.248788e-05,1.877477e-04,6.579327e-02
