Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification
D19-R,PCR_F_bc020,PCR_R_bc001,RNA,PCR_ITS
D20-R,PCR_F_bc021,PCR_R_bc001,RNA,PCR_ITS
D21-R,PCR_F_bc022,PCR_R_bc001,RNA,PCR_ITS
D22-R,PCR_F_bc001,PCR_R_bc002,RNA,PCR_ITS
D23-R,PCR_F_bc002,PCR_R_bc002,RNA,PCR_ITS
D24-R,PCR_F_bc003,PCR_R_bc002,RNA,PCR_ITS
D25-R,PCR_F_bc004,PCR_R_bc002,RNA,PCR_ITS
D26-R,PCR_F_bc005,PCR_R_bc002,RNA,PCR_ITS
D27-R,PCR_F_bc006,PCR_R_bc002,RNA,PCR_ITS
D28-R,PCR_F_bc007,PCR_R_bc002,RNA,PCR_ITS
D30-R,PCR_F_bc008,PCR_R_bc002,RNA,PCR_ITS
