Decay_substrate_template,,animal_material,"animal_material,dung","animal_material,protist_material",dung,"dung,animal_material",fungal_material,"fungal_material,algal_material",leaf/fruit/seed,"leaf/fruit/seed,algal_material","leaf/fruit/seed,algal_material,fungal_material,protist_material","leaf/fruit/seed,animal_material","leaf/fruit/seed,dung","leaf/fruit/seed,roots","leaf/fruit/seed,roots,algal_material,animal_material","leaf/fruit/seed,roots,algal_material,fungal_material,animal_material","leaf/fruit/seed,roots,animal_material,sugar-rich_substrates","leaf/fruit/seed,roots,soil","leaf/fruit/seed,roots,soil,animal_material","leaf/fruit/seed,soil","leaf/fruit/seed,soil,animal_material","leaf/fruit/seed,soil,dung,animal_material","leaf/fruit/seed,soil,fungal_material","leaf/fruit/seed,wood",pollen,"pollen,animal_material","pollen,soil","roots,soil",soil,"soil,animal_material","soil,dung","soil,dung,burnt_material","soil,roots",sugar-rich_substrates,wood,"wood,animal_material","wood,fungal_material","wood,leaf/fruit/seed","wood,leaf/fruit/seed,fungal_material,animal_material","wood,leaf/fruit/seed,roots","wood,leaf/fruit/seed,roots,algal_material","wood,leaf/fruit/seed,roots,soil","wood,leaf/fruit/seed,soil","wood,leaf/fruit/seed,soil,animal_material","wood,leaf/fruit/seed,soil,dung","wood,leaf/fruit/seed,soil,dung,animal_material","wood,leaf/fruit/seed,soil,fungal_material","wood,pollen",NA
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,7.621919e-01,2.358811e-03,0.000000e+00,0.000000e+00,3.198388e-05,0.000000e+00,3.198388e-05,3.997985e-05,2.730624e-03,6.396776e-04,0.000000e+00,2.438771e-04,0.000000e+00,1.319335e-04,0.000000e+00,0.000000e+00,8.475728e-04,3.997985e-05,5.157401e-04,1.159416e-04,0.000000e+00,1.039476e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.399295e-04,0.000000e+00,1.499244e-03,2.473154e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.634672e-03,0.000000e+00,0.000000e+00,4.165900e-03,7.476232e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.358811e-04,1.851067e-03,2.318831e-03,0.000000e+00,0.000000e+00,1.916514e-01
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,2.747000e-01,1.718549e-03,2.446700e-02,0.000000e+00,1.115941e-05,0.000000e+00,4.575357e-04,1.400506e-03,7.289882e-02,3.068837e-04,0.000000e+00,2.388113e-03,1.115941e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.347822e-04,5.518327e-03,1.339129e-04,7.253614e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.789852e-05,1.104781e-03,3.639640e-02,0.000000e+00,1.060144e-04,0.000000e+00,1.013274e-02,0.000000e+00,4.194821e-02,0.000000e+00,0.000000e+00,1.679491e-02,2.287678e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.231881e-05,0.000000e+00,7.231295e-03,3.281981e-02,5.858688e-04,0.000000e+00,4.681817e-01
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,8.023111e-01,5.200050e-03,0.000000e+00,0.000000e+00,1.863817e-04,0.000000e+00,2.112326e-04,2.485089e-05,1.246894e-02,0.000000e+00,0.000000e+00,1.503479e-03,1.863817e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.018887e-03,4.970179e-04,0.000000e+00,2.547217e-04,9.319085e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.666252e-03,9.232107e-03,1.863817e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.591451e-05,1.491054e-03,0.000000e+00,0.000000e+00,2.503728e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.044235e-04,1.957008e-03,3.106362e-04,2.485089e-05,0.000000e+00,1.536469e-01
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,5.361950e-01,2.384389e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.901719e-05,1.837569e-03,8.329465e-03,1.500575e-03,0.000000e+00,1.557801e-03,6.612705e-04,0.000000e+00,0.000000e+00,0.000000e+00,9.028886e-04,5.086696e-05,3.522537e-03,1.208090e-04,8.901719e-05,4.520801e-03,1.017339e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.589593e-04,3.551150e-02,4.832362e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.032943e-03,6.944612e-02,0.000000e+00,0.000000e+00,5.061263e-03,4.005773e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.387276e-04,2.098262e-03,4.361842e-03,0.000000e+00,0.000000e+00,2.956833e-01
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,6.464516e-01,1.152018e-02,2.695932e-04,0.000000e+00,1.578106e-04,0.000000e+00,9.205621e-05,1.052071e-04,4.741552e-02,8.942603e-04,0.000000e+00,2.301405e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.482322e-04,2.630177e-05,4.011020e-04,0.000000e+00,0.000000e+00,1.104674e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.150170e-03,3.051006e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.063907e-02,0.000000e+00,0.000000e+00,1.524188e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.209882e-03,6.365029e-03,2.965525e-03,7.101479e-04,0.000000e+00,2.481507e-01
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,2.822323e-02,2.091390e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.228783e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.017622e-04,0.000000e+00,2.561601e-04,1.859793e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.172175e-02,4.689730e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.277600e-03,0.000000e+00,0.000000e+00,1.368527e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.684341e-04,0.000000e+00,1.010604e-03,2.105426e-05,0.000000e+00,4.609093e-01
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,5.676397e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.030315e-03,0.000000e+00,1.264331e-04,1.631395e-05,5.530835e-02,4.160056e-04,0.000000e+00,8.401682e-04,4.637239e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.117505e-03,6.484793e-04,1.362214e-02,5.913805e-04,1.872025e-03,2.267638e-03,5.302032e-05,0.000000e+00,2.814156e-04,0.000000e+00,0.000000e+00,6.199299e-04,1.268817e-02,4.078486e-05,0.000000e+00,4.078486e-06,0.000000e+00,0.000000e+00,4.098879e-02,0.000000e+00,0.000000e+00,2.499296e-02,0.000000e+00,3.670638e-05,0.000000e+00,0.000000e+00,6.264555e-03,2.602074e-03,3.372908e-03,9.600757e-03,1.064485e-03,0.000000e+00,2.452557e-01
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,3.827671e-01,1.714819e-03,0.000000e+00,0.000000e+00,2.618663e-02,0.000000e+00,3.217831e-04,1.018301e-04,1.436212e-01,2.443922e-05,0.000000e+00,1.555964e-03,4.347330e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.408921e-02,3.189318e-03,6.614883e-03,3.979520e-03,3.869543e-04,1.942918e-03,0.000000e+00,0.000000e+00,1.857381e-03,0.000000e+00,0.000000e+00,3.832885e-03,3.751421e-02,4.154668e-04,0.000000e+00,2.851243e-05,0.000000e+00,1.221961e-05,4.220654e-02,0.000000e+00,1.221961e-05,7.712611e-02,0.000000e+00,0.000000e+00,2.443922e-05,0.000000e+00,1.393036e-03,1.474500e-02,6.521199e-03,1.287540e-02,1.942918e-03,0.000000e+00,1.695227e-01
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,4.934666e-01,5.837243e-02,0.000000e+00,0.000000e+00,4.487049e-04,0.000000e+00,1.223741e-04,0.000000e+00,1.165273e-02,2.447481e-04,0.000000e+00,7.070501e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.719423e-05,1.087769e-04,1.223741e-04,0.000000e+00,4.038344e-03,5.302876e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.776327e-03,2.111632e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.719423e-05,0.000000e+00,2.767013e-02,0.000000e+00,0.000000e+00,6.445034e-03,0.000000e+00,1.223741e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.253654e-02,4.487049e-04,1.332518e-03,0.000000e+00,0.000000e+00,3.506833e-01
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,1.736831e-02,2.914104e-03,0.000000e+00,2.448827e-05,6.091458e-04,0.000000e+00,3.703851e-04,5.815965e-04,5.373339e-02,0.000000e+00,0.000000e+00,3.979344e-04,6.731214e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.520189e-03,0.000000e+00,6.259814e-03,3.432031e-02,5.815965e-05,1.316245e-03,1.123399e-03,0.000000e+00,1.714179e-04,0.000000e+00,0.000000e+00,2.666161e-02,5.787007e-01,0.000000e+00,0.000000e+00,7.315871e-03,0.000000e+00,1.224414e-05,7.407702e-03,0.000000e+00,0.000000e+00,8.335195e-03,0.000000e+00,0.000000e+00,1.224414e-05,0.000000e+00,0.000000e+00,1.193803e-04,8.540285e-04,2.720953e-02,7.958688e-05,0.000000e+00,1.532109e-01
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,0.3548958765,0.0177296836,0.0050622027,0.0000000000,0.0001311451,0.0000000000,0.0021735883,0.0084925036,0.0654323057,0.0000000000,0.0000000000,0.0032672248,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003398370,0.0003706276,0.0012076758,0.0000000000,0.0021336745,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044258636,0.1815858527,0.0000000000,0.0024746519,0.0000000000,0.0299296036,0.0000000000,0.0147258895,0.0000000000,0.0000000000,0.0024564056,0.0012715377,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004766841,0.0007047626,0.0036355716,0.0000000000,0.0000000000,0.2970768317
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,4.664572e-02,1.842765e-04,8.916603e-06,0.000000e+00,2.434233e-03,0.000000e+00,6.746896e-04,1.786293e-03,3.972941e-02,5.052742e-05,0.000000e+00,4.755522e-05,1.197797e-02,0.000000e+00,0.000000e+00,0.000000e+00,6.657730e-04,5.052742e-05,1.995536e-02,8.751349e-02,0.000000e+00,1.035812e-02,6.241622e-05,0.000000e+00,4.874410e-04,0.000000e+00,0.000000e+00,7.995221e-04,4.180074e-01,1.307768e-04,0.000000e+00,1.099714e-04,0.000000e+00,0.000000e+00,2.931482e-02,2.972201e-05,0.000000e+00,7.424558e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.972201e-06,3.358587e-04,8.797715e-04,1.410904e-02,0.000000e+00,0.000000e+00,3.062229e-01
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,3.108385e-01,1.306489e-02,0.000000e+00,0.000000e+00,2.079757e-04,0.000000e+00,1.696380e-03,1.478382e-04,1.349086e-02,2.906649e-04,2.480675e-04,2.397985e-03,0.000000e+00,7.016049e-05,0.000000e+00,0.000000e+00,5.738126e-04,2.480675e-04,2.260170e-03,1.252866e-05,7.166393e-04,1.965747e-02,5.565230e-03,0.000000e+00,4.192089e-03,0.000000e+00,0.000000e+00,3.389503e-02,3.456958e-01,1.277923e-04,2.154929e-04,0.000000e+00,2.154929e-04,1.503439e-05,5.681246e-02,2.004585e-05,0.000000e+00,9.286242e-03,5.011464e-05,3.758598e-05,0.000000e+00,0.000000e+00,1.503439e-05,1.893832e-02,2.989338e-03,5.738126e-04,0.000000e+00,0.000000e+00,1.554331e-01
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,7.643502e-01,5.040025e-03,1.026830e-05,0.000000e+00,1.197969e-05,0.000000e+00,8.214642e-05,4.107321e-05,1.433712e-02,3.679475e-05,0.000000e+00,0.000000e+00,7.701227e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.909352e-05,2.310368e-05,1.069615e-04,9.523850e-04,2.909352e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.596225e-04,1.189326e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.569091e-03,0.000000e+00,1.461522e-03,0.000000e+00,0.000000e+00,3.993514e-03,2.027990e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.580270e-04,1.386221e-04,1.480347e-04,0.000000e+00,0.000000e+00,1.923176e-01
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,1.482825e-01,5.198640e-04,0.000000e+00,0.000000e+00,7.359888e-02,0.000000e+00,3.372185e-03,4.602529e-03,1.016577e-01,9.842758e-04,5.891792e-05,2.415635e-03,4.168963e-02,0.000000e+00,0.000000e+00,1.732880e-04,9.981389e-03,8.317824e-05,1.678468e-02,1.389770e-02,4.467365e-03,4.914794e-02,3.812336e-03,1.039728e-05,4.099994e-03,9.357552e-05,0.000000e+00,6.227971e-03,2.155564e-01,1.382838e-03,0.000000e+00,1.351646e-04,6.931520e-05,0.000000e+00,9.429986e-02,0.000000e+00,0.000000e+00,1.396008e-02,0.000000e+00,3.285541e-03,0.000000e+00,0.000000e+00,2.356717e-04,1.559592e-04,1.975483e-04,2.437816e-02,4.505488e-05,1.316989e-04,1.602048e-01
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,3.724322e-01,1.377745e-02,1.581019e-03,0.000000e+00,1.512186e-02,0.000000e+00,1.634795e-03,0.000000e+00,4.580653e-02,1.333649e-03,0.000000e+00,2.409172e-03,3.083525e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.086988e-04,1.365915e-03,4.872120e-03,0.000000e+00,1.613285e-04,3.226570e-04,0.000000e+00,2.559745e-02,0.000000e+00,0.000000e+00,1.040031e-02,3.933188e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.613285e-04,0.000000e+00,3.462109e-02,0.000000e+00,0.000000e+00,1.387425e-03,1.398180e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.302093e-05,6.990901e-04,3.043731e-03,1.097034e-03,0.000000e+00,0.000000e+00,3.901568e-01
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,8.082656e-01,4.933199e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.128878e-05,1.298210e-04,9.736576e-03,9.595466e-05,0.000000e+00,4.797733e-04,6.773270e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.354654e-04,4.684845e-04,1.044213e-03,1.693318e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.354654e-04,6.022566e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.719643e-03,0.000000e+00,0.000000e+00,5.650036e-03,3.273747e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.935084e-04,1.580430e-04,0.000000e+00,0.000000e+00,9.810518e-02
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.3669438669,0.0020790021,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015592516,0.0000000000,0.0831600832,0.0000000000,0.0000000000,0.0025987526,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020790021,0.0077962578,0.0223492723,0.0000000000,0.0015592516,0.0005197505,0.0000000000,0.0020790021,0.0000000000,0.0000000000,0.0051975052,0.2437629938,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0441787942,0.0000000000,0.0000000000,0.0010395010,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036382536,0.0000000000,0.0000000000,0.0000000000,0.2094594595
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,8.671222e-02,2.369216e-03,0.000000e+00,0.000000e+00,2.166647e-02,0.000000e+00,1.024025e-02,1.941176e-03,2.003337e-01,1.567663e-03,0.000000e+00,5.011069e-03,1.028660e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.442250e-03,5.534532e-03,3.713862e-02,2.636673e-02,5.343686e-04,4.026849e-03,7.224882e-04,0.000000e+00,4.318571e-03,0.000000e+00,0.000000e+00,1.984798e-03,1.745123e-01,1.273215e-03,0.000000e+00,6.734135e-04,1.036021e-04,2.958112e-03,4.724255e-02,0.000000e+00,0.000000e+00,7.353021e-03,3.053535e-04,3.271645e-05,6.815926e-05,0.000000e+00,3.816919e-05,1.183245e-03,2.436830e-02,4.095009e-03,0.000000e+00,0.000000e+00,3.135953e-01
