Comment_on_lifestyle_template,,CHEGD_symbiotrophs,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",animal_parasite_some_species_mycoparasite_some_species,animal_pathogen_one_species,attine_ants-associated_some_Neotropical_species,dung_saprotroph_P._coprophila,dung_saprotroph_some_species,ectomycorrhizal_1%_of_species/Orchid_Mycorrhizal_most_species,ectomycorrhizal_1%_of_species;_Orchid_Mycorrhizal_most_species,ectomycorrhizal_1%_species/ericoid_mycorrhizal_many_species/orchid_mycorrhizal,ectomycorrhizal_1-2_species_in_E.pisiformis_complex,ectomycorrhizal_C._finlandica,"ectomycorrhizal_H._Bicolor,_H._Finlandica,_ericoid_mycorrhizal_H._Variabilis,_plant_pathogen_some_species",ectomycorrhizal_many_species,ectomycorrhizal_many_species_in_several_lineages,ericoid_mycorrhizal_O._maius,extremophile,extremophile_cryophile,extremophile_thermophile,extremophile_xerophile_and_heat_resistant,fish_parasite_B._oncorhynchi,foliar_endophyte_C._asteris,hypervariable,"hypervariable,_parasite_on_algae,mycoparasite,saprobic_on_a_variety_of_plant_and_animal_derived_materials_including_keratin,chitin,cellulose,and_pollen","hypervariable,_parasite_on_algae,protists,and_plants;_Saprobic_on_plant_and_animal_matter","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","hypervariable,_saprotroph_and_epiphyte","hypervariable,_saprotroph_animal_pathogen_endophyte",hyperviariable,"hyperviariable,_thermophile,_some_species_animal_parasite_some_species_various_saprotrophs",invertebrate-associated_some_species,lichen_parasite_one_species,lichen_parasite_some_species,lichenized_some_species,litter_saprotroph_many_species,litter_saprotroph_or_dung_saprotroph_some_species,litter_saprotroph_some_species,moss-associated_many_species,mycoparasite_and_litter_saprotroph_some_species,mycoparasite_one_species,mycoparasite_some_species,"mycoparasite_some_species,animal_pathogen_some_species",plant_pathogen_weak,"rock-inhabiting_some_species,animal_parasite_some_species",saprotroph_some_species,saprotroph_unspecified_some_species,sediments_marine,soil_saprotroph_ca_25%_of_species,soil_saprotroph_some_species,toxin-producing,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",wood_pathogen_some_species,wood_saprotroph_many_species,wood_saprotroph_some_species,NA
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,2.515371e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.165032e-03,0.000000e+00,0.000000e+00,1.219929e-04,0.000000e+00,8.295516e-04,1.219929e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.280925e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.269751e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.563558e-04,0.000000e+00,0.000000e+00,0.000000e+00,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,5.443129e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.873670e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.724108e-04,1.258205e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.265249e-03,0.000000e+00,0.000000e+00,4.150534e-05,2.846080e-04,0.000000e+00,3.201840e-04,1.196540e-02,1.897387e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.482334e-04,0.000000e+00,1.423040e-04,7.115201e-05,5.929334e-06,0.000000e+00,0.000000e+00,0.000000e+00,4.743467e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.217773e-01
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,7.793952e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.639174e-04,0.000000e+00,0.000000e+00,3.997985e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.879853e-02,2.294843e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.345810e-03,0.000000e+00,0.000000e+00,4.437763e-04,0.000000e+00,0.000000e+00,8.475728e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.919033e-04,0.000000e+00,0.000000e+00,0.000000e+00,7.476232e-04,0.000000e+00,0.000000e+00,2.398791e-05,0.000000e+00,0.000000e+00,2.438771e-04,3.997985e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.476736e-04,0.000000e+00,1.239375e-04,0.000000e+00,1.916514e-01
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,4.073630e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.051216e-02,0.000000e+00,0.000000e+00,5.518327e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.367027e-03,2.968402e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.721104e-02,0.000000e+00,0.000000e+00,1.339129e-04,0.000000e+00,0.000000e+00,3.347822e-04,0.000000e+00,2.840069e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.021733e-04,0.000000e+00,1.673911e-05,0.000000e+00,2.287678e-04,0.000000e+00,2.360214e-03,2.455069e-04,0.000000e+00,1.556737e-03,4.039705e-02,1.394926e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.686744e-02,0.000000e+00,0.000000e+00,0.000000e+00,4.681817e-01
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,8.299329e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.199304e-03,0.000000e+00,0.000000e+00,7.424205e-03,1.310885e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.497515e-03,0.000000e+00,0.000000e+00,1.018887e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.180417e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.863817e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.758201e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.106362e-05,2.485089e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.863817e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.536469e-01
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,6.470278e-01,0.000000e+00,0.000000e+00,4.387276e-04,0.000000e+00,4.476293e-03,0.000000e+00,0.000000e+00,5.086696e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.191559e-02,3.986698e-03,0.000000e+00,4.069357e-04,0.000000e+00,0.000000e+00,0.000000e+00,9.073395e-03,0.000000e+00,0.000000e+00,2.765891e-03,0.000000e+00,1.316183e-03,9.028886e-04,0.000000e+00,1.449708e-03,0.000000e+00,0.000000e+00,0.000000e+00,7.630045e-05,0.000000e+00,5.900568e-03,0.000000e+00,4.005773e-04,0.000000e+00,2.543348e-04,1.526009e-04,4.450859e-05,0.000000e+00,4.514443e-04,1.462425e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.045074e-03,0.000000e+00,4.717911e-03,0.000000e+00,2.956833e-01
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,7.265536e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.630177e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.137552e-02,0.000000e+00,0.000000e+00,3.221967e-04,2.432914e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.265332e-03,0.000000e+00,0.000000e+00,4.011020e-04,0.000000e+00,0.000000e+00,8.482322e-04,0.000000e+00,2.169896e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.287722e-05,0.000000e+00,0.000000e+00,3.090458e-04,6.575443e-06,0.000000e+00,0.000000e+00,4.011020e-04,1.052071e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.890532e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.481507e-01
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,5.364449e-01,0.000000e+00,0.000000e+00,1.684341e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.105426e-04,4.842479e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.632245e-04,0.000000e+00,0.000000e+00,2.561601e-04,0.000000e+00,0.000000e+00,1.017622e-04,0.000000e+00,1.473798e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.368990e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.158139e-05,2.456330e-05,0.000000e+00,0.000000e+00,2.842325e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.609093e-01
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,7.086860e-01,4.078486e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.484793e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.055781e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.103728e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.484569e-02,0.000000e+00,0.000000e+00,1.362214e-02,0.000000e+00,0.000000e+00,1.117505e-03,0.000000e+00,4.486335e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.637239e-03,4.486335e-05,0.000000e+00,8.156973e-06,1.223546e-05,2.365522e-03,0.000000e+00,0.000000e+00,5.098108e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.984681e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.452557e-01
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,7.285699e-01,1.503012e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.480524e-05,8.838852e-04,0.000000e+00,3.189318e-03,5.702485e-05,1.788136e-03,0.000000e+00,0.000000e+00,0.000000e+00,6.557858e-04,0.000000e+00,0.000000e+00,2.195457e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.313987e-02,0.000000e+00,0.000000e+00,4.684184e-03,5.702485e-05,0.000000e+00,1.408921e-02,0.000000e+00,1.303425e-04,6.109805e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.221961e-05,1.769807e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.209741e-03,1.239883e-02,0.000000e+00,3.095635e-04,0.000000e+00,0.000000e+00,2.443922e-05,0.000000e+00,0.000000e+00,1.768992e-02,0.000000e+00,8.553728e-05,0.000000e+00,1.695227e-01
