"","bcComboNum","Forward","Reverse","libPrepBy","Sample.ID","Target","PCR.ng.per.uL","libPrepNotes","unq.id","sequenced","Extraction.Date","Date.Collected","Starting.depth..cm.","Tree","Depth.cm","RNA.ng.uL","DNA.ng.uL","Soil.Mass..g.","X20uL.RNA.DILUTION.2ng.uL","X20uL.DNA.Dilution.2ng.uL","Letter.in.Batch","RNA.PCR.Water.to.be.Added.","DNA.PCR.Water.to.be.added.","X","cDNA.conc..ng.uL","uL.of.cDNA.to.input","Final.Input.ng","nucleicAcid-box","nucleicAcid"
"31",31,"PCR_F_bc009","PCR_R_bc002","Nate","D33-D","ITS",10.2,"","D33-D-ITS","yes","8/22/23","260523",0,"T05","0-7.5",34.6,35,2.1,"1.156069364",1.142857143,"B","50uL","150uL","",3.7,1,3.7,"DO.DNA.Box.ID","D"
"32",32,"PCR_F_bc010","PCR_R_bc002","Nate","D34-D","ITS",0.26,"","D34-D-ITS","yes","8/22/23","290523",15,"T07","15-22.5",9.12,18.9,2.1,"4.385964912",2.116402116,"C","","","",0.494,3,1.482,"DO.DNA.Box.ID","D"
"33",33,"PCR_F_bc011","PCR_R_bc002","Nate","D35-D","ITS",0.402,"","D35-D-ITS","yes","8/30/23","290523",0,"T07","0-7.5",32.7,31.13,2,"1.22324159",1.284934147,"A","50uL","100uL","",2.2,1,2.2,"DO.DNA.Box.ID","D"
"34",34,"PCR_F_bc012","PCR_R_bc002","Nate","D36-D","ITS",0.246,"","D36-D-ITS","yes","8/30/23","80523",22.5,"T02","22.5-30",26.3,41.429,2,"1.520912548",0.9655072534,"D","50uL","300uL","",2.12,1,2.12,"DO.DNA.Box.ID","D"
"35",35,"PCR_F_bc013","PCR_R_bc002","Nate","D37-D","ITS",0.168,"","D37-D-ITS","yes","8/30/23","200523",37.5,"T03","37.5-45",2.32,44.4,1.9,"17.24137931",0.9009009009,"B","","","",1.668,1,1.668,"DO.DNA.Box.ID","D"
"36",36,"PCR_F_bc014","PCR_R_bc002","Nate","D38-D","ITS",7.4,"","D38-D-ITS","yes","9/8/23","80523",0,"T02","0-7.5",38,36,1.9,"1.052631579",1.111111111,"D","100uL","100uL","",1.672,1,1.672,"DO.DNA.Box.ID","D"
"37",37,"PCR_F_bc015","PCR_R_bc002","Nate","D39-D","ITS",1.934,"","D39-D-ITS","yes","9/12/23","220523",7.5,"T04","7.5-15",38.55,45.33,2,"1.037613489",0.8824178248,"C","25uL","250uL","",1.512,1,1.512,"DO.DNA.Box.ID","D"
"38",38,"PCR_F_bc016","PCR_R_bc002","Nate","D40-D","ITS",4.6,"","D40-D-ITS","yes","9/12/23","280523",22.5,"T06","22.5-30",5.78,48.4,2,"6.920415225",0.826446281,"D","","","",0.296,5,1.48,"DO.DNA.Box.ID","D"
"39",39,"PCR_F_bc017","PCR_R_bc002","Nate","D41-D","ITS",0.111,"","D41-D-ITS","yes","9/12/23","80523",30,"T02","30-37.5",15.2,8.14,2.2,"2.631578947",4.914004914,"A","","","",1.034,1,1.034,"DO.DNA.Box.ID","D"
"40",40,"PCR_F_bc018","PCR_R_bc002","Nate","D42-D","ITS",8.66,"","D42-D-ITS","yes","9/19/2023","280523",0,"T06","0-7.5",32.2666,36.95,2.1,"1.239671983",1.082543978,"A","50uL","150uL","",2.24,1,2.24,"DO.DNA.Box.ID","D"
